config_id,pair_key,base_id,cornea_id,platform_id,pupil_mm,optic_state,defocus_d,mtf30_cpd
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,1.0,0.0068620095510560485
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,0.875,0.015871060492628812
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,0.75,0.0031271760457048927
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,0.625,0.03001900592367228
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,0.5,0.012381074047556385
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,0.375,0.007629447650750356
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,0.25,0.13664035608217714
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,0.125,0.4411317561563266
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,0.0,0.6146065351518776
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,-0.125,0.431952055552753
