config_id,pair_key,base_id,cornea_id,platform_id,pupil_mm,optic_state,reference_config_id,common_threshold,common_dof50_width_d,common_dof50_far_censored,common_dof50_near_censored
R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,MONO,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,0.3146374429620985,0.4519830103933509,False,False
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,3.0,EDOF,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,0.3146374429620985,0.3776184422764596,False,False
R8_R6_LB_AL2395_N0_WFS_MONO_EPD5,R6_LB_AL2395_N0_WFS_EPD5,LB_AL2395,N0,WFS,5.0,MONO,R8_R6_LB_AL2395_N0_WFS_MONO_EPD5,0.1524993884644963,0.9159671792762432,False,False
R8_R6_LB_AL2395_N0_WFS_EDOF_EPD5,R6_LB_AL2395_N0_WFS_EPD5,LB_AL2395,N0,WFS,5.0,EDOF,R8_R6_LB_AL2395_N0_WFS_MONO_EPD5,0.1524993884644963,0.8516190145565126,False,False
R8_R6_LB_AL2395_N0_RAD_MONO_EPD3,R6_LB_AL2395_N0_RAD_EPD3,LB_AL2395,N0,RAD,3.0,MONO,R8_R6_LB_AL2395_N0_RAD_MONO_EPD3,0.32059485311056773,0.4483692590889119,False,False
R8_R6_LB_AL2395_N0_RAD_EDOF_EPD3,R6_LB_AL2395_N0_RAD_EPD3,LB_AL2395,N0,RAD,3.0,EDOF,R8_R6_LB_AL2395_N0_RAD_MONO_EPD3,0.32059485311056773,0.0,False,False
R8_R6_LB_AL2395_N0_RAD_MONO_EPD5,R6_LB_AL2395_N0_RAD_EPD5,LB_AL2395,N0,RAD,5.0,MONO,R8_R6_LB_AL2395_N0_RAD_MONO_EPD5,0.20204496691139864,0.5821282337587674,False,False
R8_R6_LB_AL2395_N0_RAD_EDOF_EPD5,R6_LB_AL2395_N0_RAD_EPD5,LB_AL2395,N0,RAD,5.0,EDOF,R8_R6_LB_AL2395_N0_RAD_MONO_EPD5,0.20204496691139864,0.11130237853005487,False,False
R8_R6_LB_AL2395_N0_HOA_MONO_EPD3,R6_LB_AL2395_N0_HOA_EPD3,LB_AL2395,N0,HOA,3.0,MONO,R8_R6_LB_AL2395_N0_HOA_MONO_EPD3,0.27703948490897373,0.524443772319144,False,False
R8_R6_LB_AL2395_N0_HOA_EDOF_EPD3,R6_LB_AL2395_N0_HOA_EPD3,LB_AL2395,N0,HOA,3.0,EDOF,R8_R6_LB_AL2395_N0_HOA_MONO_EPD3,0.27703948490897373,0.0,False,False
R8_R6_LB_AL2395_N0_HOA_MONO_EPD5,R6_LB_AL2395_N0_HOA_EPD5,LB_AL2395,N0,HOA,5.0,MONO,R8_R6_LB_AL2395_N0_HOA_MONO_EPD5,0.10072910970294675,1.738743693174318,False,False
R8_R6_LB_AL2395_N0_HOA_EDOF_EPD5,R6_LB_AL2395_N0_HOA_EPD5,LB_AL2395,N0,HOA,5.0,EDOF,R8_R6_LB_AL2395_N0_HOA_MONO_EPD5,0.10072910970294675,0.8733011878574674,False,False
R8_R6_LB_AL2395_A0_WFS_MONO_EPD3,R6_LB_AL2395_A0_WFS_EPD3,LB_AL2395,A0,WFS,3.0,MONO,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,0.3146374429620985,0.45508649495627684,False,False
R8_R6_LB_AL2395_A0_WFS_EDOF_EPD3,R6_LB_AL2395_A0_WFS_EPD3,LB_AL2395,A0,WFS,3.0,EDOF,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,0.3146374429620985,0.3600920484227335,False,False
R8_R6_LB_AL2395_A0_WFS_MONO_EPD5,R6_LB_AL2395_A0_WFS_EPD5,LB_AL2395,A0,WFS,5.0,MONO,R8_R6_LB_AL2395_N0_WFS_MONO_EPD5,0.1524993884644963,0.7933120943078391,False,False
R8_R6_LB_AL2395_A0_WFS_EDOF_EPD5,R6_LB_AL2395_A0_WFS_EPD5,LB_AL2395,A0,WFS,5.0,EDOF,R8_R6_LB_AL2395_N0_WFS_MONO_EPD5,0.1524993884644963,0.7570644025300641,False,False
R8_R6_LB_AL2395_A0_RAD_MONO_EPD3,R6_LB_AL2395_A0_RAD_EPD3,LB_AL2395,A0,RAD,3.0,MONO,R8_R6_LB_AL2395_N0_RAD_MONO_EPD3,0.32059485311056773,0.4485432953236638,False,False
R8_R6_LB_AL2395_A0_RAD_EDOF_EPD3,R6_LB_AL2395_A0_RAD_EPD3,LB_AL2395,A0,RAD,3.0,EDOF,R8_R6_LB_AL2395_N0_RAD_MONO_EPD3,0.32059485311056773,0.0,False,False
R8_R6_LB_AL2395_A0_RAD_MONO_EPD5,R6_LB_AL2395_A0_RAD_EPD5,LB_AL2395,A0,RAD,5.0,MONO,R8_R6_LB_AL2395_N0_RAD_MONO_EPD5,0.20204496691139864,0.45716428906796425,False,False
R8_R6_LB_AL2395_A0_RAD_EDOF_EPD5,R6_LB_AL2395_A0_RAD_EPD5,LB_AL2395,A0,RAD,5.0,EDOF,R8_R6_LB_AL2395_N0_RAD_MONO_EPD5,0.20204496691139864,0.0,False,False
R8_R6_LB_AL2395_A0_HOA_MONO_EPD3,R6_LB_AL2395_A0_HOA_EPD3,LB_AL2395,A0,HOA,3.0,MONO,R8_R6_LB_AL2395_N0_HOA_MONO_EPD3,0.27703948490897373,0.526539720012756,False,False
R8_R6_LB_AL2395_A0_HOA_EDOF_EPD3,R6_LB_AL2395_A0_HOA_EPD3,LB_AL2395,A0,HOA,3.0,EDOF,R8_R6_LB_AL2395_N0_HOA_MONO_EPD3,0.27703948490897373,0.0,False,False
