base_id,cornea_id,platform_id,pupil_mm,threshold,delta_delta_dof_d,bound_status,lower_bound,upper_bound,source_peak_censored
LB_AL2395,A0,WFS,3.0,0.3,0.10578600442641539,exact,0.10578600442641539,0.10578600442641539,False
LB_AL2395,A0,WFS,3.0,0.5,0.053154734363742906,exact,0.053154734363742906,0.053154734363742906,False
LB_AL2395,A0,WFS,3.0,0.7,0.012020919802874175,exact,0.012020919802874175,0.012020919802874175,False
LB_AL2395,B0,WFS,3.0,0.3,0.42679073857914784,lower_bound,0.42679073857914784,,False
LB_AL2395,B0,WFS,3.0,0.5,0.546470212413557,exact,0.546470212413557,0.546470212413557,False
LB_AL2395,B0,WFS,3.0,0.7,0.2319662360669436,exact,0.2319662360669436,0.2319662360669436,False
LB_AL2395,C0,WFS,3.0,0.3,0.007700970605943436,exact,0.007700970605943436,0.007700970605943436,False
LB_AL2395,C0,WFS,3.0,0.5,0.0040137310939534765,exact,0.0040137310939534765,0.0040137310939534765,False
LB_AL2395,C0,WFS,3.0,0.7,0.0005745486161716218,exact,0.0005745486161716218,0.0005745486161716218,False
LB_AL2395,A0,WFS,5.0,0.3,0.1776960205127911,exact,0.1776960205127911,0.1776960205127911,False
LB_AL2395,A0,WFS,5.0,0.5,0.15443261906606354,exact,0.15443261906606354,0.15443261906606354,False
LB_AL2395,A0,WFS,5.0,0.7,0.18455389303034014,exact,0.18455389303034014,0.18455389303034014,False
LB_AL2395,B0,WFS,5.0,0.3,0.27217972598291507,exact,0.27217972598291507,0.27217972598291507,False
LB_AL2395,B0,WFS,5.0,0.5,0.3885860924260176,exact,0.3885860924260176,0.3885860924260176,False
LB_AL2395,B0,WFS,5.0,0.7,-0.0024234953920848623,exact,-0.0024234953920848623,-0.0024234953920848623,False
LB_AL2395,C0,WFS,5.0,0.3,0.1560807682295997,lower_bound,0.1560807682295997,,False
LB_AL2395,C0,WFS,5.0,0.5,-0.014898652887866959,exact,-0.014898652887866959,-0.014898652887866959,False
LB_AL2395,C0,WFS,5.0,0.7,-0.12913556207926813,exact,-0.12913556207926813,-0.12913556207926813,False
LB_AL2395,A0,RAD,3.0,0.3,-0.03799443959029025,indeterminate,,,False
LB_AL2395,A0,RAD,3.0,0.5,-0.029149653825607913,indeterminate,,,False
LB_AL2395,A0,RAD,3.0,0.7,-0.025777423227035523,lower_bound,-0.025777423227035523,,False
LB_AL2395,B0,RAD,3.0,0.3,-0.2850371484777181,indeterminate,,,False
LB_AL2395,B0,RAD,3.0,0.5,-0.09918681072819413,indeterminate,,,False
LB_AL2395,B0,RAD,3.0,0.7,-0.04986257110857356,lower_bound,-0.04986257110857356,,False
LB_AL2395,C0,RAD,3.0,0.3,0.010220314053253299,indeterminate,,,False
LB_AL2395,C0,RAD,3.0,0.5,-0.0035113510109757717,indeterminate,,,False
LB_AL2395,C0,RAD,3.0,0.7,0.0032807814461435214,exact,0.0032807814461435214,0.0032807814461435214,False
LB_AL2395,A0,RAD,5.0,0.3,0.04322638344181584,lower_bound,0.04322638344181584,,False
LB_AL2395,A0,RAD,5.0,0.5,0.7854806350678232,exact,0.7854806350678232,0.7854806350678232,False
LB_AL2395,A0,RAD,5.0,0.7,0.0019262880781250602,exact,0.0019262880781250602,0.0019262880781250602,False
LB_AL2395,B0,RAD,5.0,0.3,-0.27803577672652846,lower_bound,-0.27803577672652846,,False
LB_AL2395,B0,RAD,5.0,0.5,-0.6272423295099858,lower_bound,-0.6272423295099858,,False
LB_AL2395,B0,RAD,5.0,0.7,-0.25881703029164277,exact,-0.25881703029164277,-0.25881703029164277,False
LB_AL2395,C0,RAD,5.0,0.3,-0.9659981872704466,lower_bound,-0.9659981872704466,,False
LB_AL2395,C0,RAD,5.0,0.5,0.28584041841661945,lower_bound,0.28584041841661945,,False
LB_AL2395,C0,RAD,5.0,0.7,-0.08398518813808181,exact,-0.08398518813808181,-0.08398518813808181,False
LB_AL2395,A0,HOA,3.0,0.3,-0.05090966423138843,exact,-0.05090966423138843,-0.05090966423138843,False
LB_AL2395,A0,HOA,3.0,0.5,-0.025573294368055777,exact,-0.025573294368055777,-0.025573294368055777,False
LB_AL2395,A0,HOA,3.0,0.7,-0.016867502100413767,exact,-0.016867502100413767,-0.016867502100413767,False
LB_AL2395,B0,HOA,3.0,0.3,-0.10837753019754404,exact,-0.10837753019754404,-0.10837753019754404,False
LB_AL2395,B0,HOA,3.0,0.5,-0.17491342231282703,exact,-0.17491342231282703,-0.17491342231282703,False
LB_AL2395,B0,HOA,3.0,0.7,-0.10154876140858127,exact,-0.10154876140858127,-0.10154876140858127,False
LB_AL2395,C0,HOA,3.0,0.3,0.013507163624524754,exact,0.013507163624524754,0.013507163624524754,False
LB_AL2395,C0,HOA,3.0,0.5,-0.005357568367985288,exact,-0.005357568367985288,-0.005357568367985288,False
LB_AL2395,C0,HOA,3.0,0.7,-0.0005701617125149494,exact,-0.0005701617125149494,-0.0005701617125149494,False
LB_AL2395,A0,HOA,5.0,0.3,0.17437850457553372,exact,0.17437850457553372,0.17437850457553372,False
LB_AL2395,A0,HOA,5.0,0.5,0.1994337637202228,exact,0.1994337637202228,0.1994337637202228,False
LB_AL2395,A0,HOA,5.0,0.7,0.06850433882381934,exact,0.06850433882381934,0.06850433882381934,False
LB_AL2395,B0,HOA,5.0,0.3,0.28404819902020995,exact,0.28404819902020995,0.28404819902020995,False
LB_AL2395,B0,HOA,5.0,0.5,0.5356319643541245,exact,0.5356319643541245,0.5356319643541245,False
LB_AL2395,B0,HOA,5.0,0.7,1.0985665115549619,exact,1.0985665115549619,1.0985665115549619,False
LB_AL2395,C0,HOA,5.0,0.3,0.019094768897188974,indeterminate,,,False
LB_AL2395,C0,HOA,5.0,0.5,0.4635852984289206,lower_bound,0.4635852984289206,,False
LB_AL2395,C0,HOA,5.0,0.7,0.007189810403217589,exact,0.007189810403217589,0.007189810403217589,False
