config_id,pair_key,base_id,cornea_id,platform_id,pupil_mm,optic_state,defocus_d,mtf30_cpd
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,1.0,0.005150529160906696
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,0.875,0.00028109697805964894
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,0.75,0.005531827735266313
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,0.625,0.000315285143276804
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,0.5,0.005104903346299717
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,0.375,0.0018897116404811719
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,0.25,0.005980194974599733
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,0.125,0.003272207589634869
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,0.0,0.007353845270699628
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-0.125,0.0045005019678670665
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-0.25,0.009005982549008633
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-0.375,0.004953351593965624
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-0.5,0.008401174656488538
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-0.625,0.009556896506328589
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-0.75,0.011796902050066041
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-0.875,0.01172824010948911
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-1.0,0.010523835312995652
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-1.125,0.02621878259035732
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-1.25,0.03123836000745121
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-1.375,0.010759661992230435
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-1.5,0.10826976252405277
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-1.625,0.37439593013277
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-1.75,0.5808392377668978
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-1.875,0.46893556484262944
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-2.0,0.12829873774882586
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-2.125,0.09466383459200435
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-2.25,0.05394647408352733
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-2.375,0.05717368736764844
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-2.5,0.04830144182481352
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-2.625,0.021845591191289367
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-2.75,0.02465755608778503
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-2.875,0.017516755637816763
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.0,0.01788144590662587
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.125,0.011240522439453839
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.25,0.009797453138943151
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.375,0.01103063432807858
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.5,0.007789654016564236
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.625,0.0077869861297964445
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.75,0.0037225100771165246
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-3.875,0.007144836930331303
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.0,0.001367758455034349
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.125,0.006868892963524051
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.25,0.00011080171397342448
S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,MONO,-4.375,0.006536024379444067
