pair_key,base_id,cornea_id,platform_id,pupil_mm,carrier_key,mono_config_id,edof_config_id,mono_peak_search_censored,edof_peak_search_censored,delta_mtfa_at_zero_d,delta_peak_mtfa,delta_tf_mtfa_mean,mono_tf_mtfa_mean_original_window,edof_tf_mtfa_mean_original_window,delta_tf_mtfa_mean_original_window,mono_dof30_d,edof_dof30_d,mono_dof30_far_censored,mono_dof30_near_censored,edof_dof30_far_censored,edof_dof30_near_censored,delta_dof30_d,mono_dof50_d,edof_dof50_d,mono_dof50_far_censored,mono_dof50_near_censored,edof_dof50_far_censored,edof_dof50_near_censored,delta_dof50_d,mono_dof70_d,edof_dof70_d,mono_dof70_far_censored,mono_dof70_near_censored,edof_dof70_far_censored,edof_dof70_near_censored,delta_dof70_d
S2_R6_ATC_M3_AL24477_C0_HOA_EPD3,ATC_M3_AL24477,C0,HOA,3.0,S2_R6_ATC_M3_AL24477_C0_HOA,S2_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD3,S2_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD3,True,True,0.007031027401032973,-0.03324772669951008,-0.03779131410872681,0.14857072678006986,0.08128660358976995,-0.0672841231902999,5.638033849499065,6.0,False,False,True,True,0.36196615050093506,3.4574534652517115,5.62683773142514,False,False,True,False,2.1693842661734286,2.5014961469029684,1.0986512832207884,False,False,True,False,-1.40284486368218
S2_R6_ATC_M3_AL24477_C0_HOA_EPD5,ATC_M3_AL24477,C0,HOA,5.0,S2_R6_ATC_M3_AL24477_C0_HOA,S2_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD5,S2_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD5,True,True,0.00043425233111954453,-0.03542646608191102,-0.013627131869072807,0.10494661366564907,0.0797208015135317,-0.025225812152117374,2.534539760192626,3.4663158396143308,False,False,False,False,0.9317760794217049,1.6166980598328244,1.5901067242931917,False,False,False,False,-0.026591335539632777,1.2592873200913042,1.3312559481435604,False,False,False,False,0.07196862805225623
S2_R6_ATC_M3_AL24477_C0_RAD_EPD3,ATC_M3_AL24477,C0,RAD,3.0,S2_R6_ATC_M3_AL24477_C0_RAD,S2_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD3,S2_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD3,True,False,0.019837686936240342,0.1885856452947443,-0.016217869094708015,0.15059865370383438,0.12289692639565408,-0.027701727308180296,5.781291763007588,1.8211074460812098,True,False,False,False,-3.9601843169263784,3.6175091222520988,1.1105817208233186,False,False,False,False,-2.50692740142878,2.5438257525740964,0.33160149316370036,False,False,False,False,-2.2122242594103962
S2_R6_ATC_M3_AL24477_C0_RAD_EPD5,ATC_M3_AL24477,C0,RAD,5.0,S2_R6_ATC_M3_AL24477_C0_RAD,S2_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD5,S2_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD5,False,False,0.012953476249570411,0.03144286750079703,-0.005157764531039957,0.10148223734947295,0.0919781273867278,-0.009504109962745158,2.3246811899230893,1.7292330046889788,False,False,False,False,-0.5954481852341105,0.3700941808166852,0.44541421378850604,False,False,False,False,0.07532003297182083,0.2705024934537787,0.26295800099414157,False,False,False,False,-0.00754449245963712
S2_R6_ATC_M3_AL24477_C0_WFS_EPD3,ATC_M3_AL24477,C0,WFS,3.0,S2_R6_ATC_M3_AL24477_C0_WFS,S2_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD3,S2_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD3,True,True,0.007892988711140879,0.03613962132766256,-0.000841923461650948,0.14944477232475248,0.1453631841083046,-0.0040815882164478845,6.0,4.783827730589357,True,True,False,False,-1.2161722694106434,3.6779806156713644,3.0357546843677334,False,False,False,False,-0.6422259313036309,2.605978666586891,2.2520762233926854,False,False,False,False,-0.3539024431942055
S2_R6_ATC_M3_AL24477_C0_WFS_EPD5,ATC_M3_AL24477,C0,WFS,5.0,S2_R6_ATC_M3_AL24477_C0_WFS,S2_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD5,S2_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD5,False,False,-0.0048310782554146225,0.01936741559139854,-0.0005814520591666816,0.10349782780679262,0.10160320575659942,-0.0018946220501931954,2.0378033358868013,1.994561581309714,False,False,False,False,-0.043241754577087343,0.3980849504458251,0.3766607707787062,False,False,False,False,-0.021424179667118903,0.2107129521305613,0.1861921324747261,False,False,False,False,-0.02452081965583519
S2_R6_LB_AL2395_C0_HOA_EPD3,LB_AL2395,C0,HOA,3.0,S2_R6_LB_AL2395_C0_HOA,S2_R6_LB_AL2395_C0_HOA_MONO_EPD3,S2_R6_LB_AL2395_C0_HOA_EDOF_EPD3,True,True,0.007216355157812389,-0.03392480265595116,-0.03808636687259989,0.14828393626606545,0.08082533051517002,-0.06745860575089543,5.583568379946102,6.0,False,False,True,True,0.4164316200538982,3.4475694705590296,5.624481701756129,False,False,True,False,2.1769122311970994,2.5040752237657355,0.743394361831188,False,False,True,False,-1.7606808619345475
S2_R6_LB_AL2395_C0_HOA_EPD5,LB_AL2395,C0,HOA,5.0,S2_R6_LB_AL2395_C0_HOA,S2_R6_LB_AL2395_C0_HOA_MONO_EPD5,S2_R6_LB_AL2395_C0_HOA_EDOF_EPD5,True,True,0.0027064220037198577,-0.03113977937212581,-0.013833645843014872,0.10593896113116723,0.0802456818153485,-0.02569327931581873,2.841377173288916,4.380480322511598,False,False,True,False,1.539103149222682,1.8080631598922179,1.9064800549136307,False,False,False,False,0.09841689502141282,1.405146487733457,1.4222924788056894,False,False,False,False,0.01714599107223247
S2_R6_LB_AL2395_C0_RAD_EPD3,LB_AL2395,C0,RAD,3.0,S2_R6_LB_AL2395_C0_RAD,S2_R6_LB_AL2395_C0_RAD_MONO_EPD3,S2_R6_LB_AL2395_C0_RAD_EDOF_EPD3,True,False,0.020385638859796808,0.20181092912995818,-0.015834805531885182,0.15013031984067188,0.12355267698936809,-0.02657764285130379,5.838299423248298,1.7501975184634146,True,False,False,False,-4.0881019047848834,3.626954692221323,1.0881935938005296,False,False,False,False,-2.5387610984207933,2.564286376284775,0.33097284490171663,False,False,False,False,-2.2333135313830583
S2_R6_LB_AL2395_C0_RAD_EPD5,LB_AL2395,C0,RAD,5.0,S2_R6_LB_AL2395_C0_RAD,S2_R6_LB_AL2395_C0_RAD_MONO_EPD5,S2_R6_LB_AL2395_C0_RAD_EDOF_EPD5,False,False,0.0028003729079129416,0.02536282219011146,-0.0064698576042751255,0.10278782715541226,0.09088482297095911,-0.011903004184453156,2.186471206133737,1.5652005856271478,False,False,False,False,-0.621270620506589,0.40646633921911646,0.4262602516337862,False,False,False,False,0.019793912414669768,0.26398142038661476,0.23540052272036732,False,False,False,False,-0.02858089766624744
S2_R6_LB_AL2395_C0_WFS_EPD3,LB_AL2395,C0,WFS,3.0,S2_R6_LB_AL2395_C0_WFS,S2_R6_LB_AL2395_C0_WFS_MONO_EPD3,S2_R6_LB_AL2395_C0_WFS_EDOF_EPD3,True,True,0.008136751249385413,0.03956730447230267,-0.0010417840891573937,0.14922427966338778,0.1447740218698169,-0.004450257793570889,6.0,4.721203726274799,True,True,False,False,-1.2787962737252014,3.6991357722375757,2.9993588605171655,False,False,False,False,-0.6997769117204102,2.63448382419194,2.2506730654067355,False,False,False,False,-0.38381075878520443
