pair_key,base_id,cornea_id,platform_id,pupil_mm,carrier_key,mono_config_id,edof_config_id,mono_peak_search_censored,edof_peak_search_censored,delta_mtfa_at_zero_d,delta_peak_mtfa,delta_tf_mtfa_mean,mono_tf_mtfa_mean_original_window,edof_tf_mtfa_mean_original_window,delta_tf_mtfa_mean_original_window,mono_dof30_d,edof_dof30_d,mono_dof30_far_censored,mono_dof30_near_censored,edof_dof30_far_censored,edof_dof30_near_censored,delta_dof30_d,mono_dof50_d,edof_dof50_d,mono_dof50_far_censored,mono_dof50_near_censored,edof_dof50_far_censored,edof_dof50_near_censored,delta_dof50_d,mono_dof70_d,edof_dof70_d,mono_dof70_far_censored,mono_dof70_near_censored,edof_dof70_far_censored,edof_dof70_near_censored,delta_dof70_d
R6_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,3.0,R6_ATC_M3_AL24477_A0_HOA,R8_R6_ATC_M3_AL24477_A0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_A0_HOA_EDOF_EPD3,False,False,-0.3967660452688136,-0.3296542240917725,-0.039889811795855955,0.1434226072342117,0.0790082291834174,-0.06441437805079431,1.083814823450205,1.4769357417931985,False,False,False,False,0.39312091834299356,0.5316432878801591,0.6269666953013675,False,False,False,False,0.09532340742120837,0.34817578999705234,0.41385849216778847,False,False,False,False,0.06568270217073613
R6_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,5.0,R6_ATC_M3_AL24477_A0_HOA,R8_R6_ATC_M3_AL24477_A0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_A0_HOA_EDOF_EPD5,False,False,-0.13655370562526492,-0.046742459239811185,-0.01149774274888895,0.09573872641189436,0.07699036414197365,-0.018748362269920715,2.6035471445112486,2.7888480573511423,False,False,False,False,0.1853009128398937,1.541312664614767,1.5771020501143107,False,False,False,False,0.03578938549954369,0.5141315359392408,0.5579287190001898,False,False,False,False,0.04379718306094904
R6_ATC_M3_AL24477_A0_RAD_EPD3,ATC_M3_AL24477,A0,RAD,3.0,R6_ATC_M3_AL24477_A0_RAD,R8_R6_ATC_M3_AL24477_A0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_A0_RAD_EDOF_EPD3,False,False,-0.510956870960418,-0.343907977915535,-0.018324906060388557,0.14218305289355218,0.08016136940182615,-0.06202168349172603,0.7861873108742319,1.2522727213039317,False,False,True,False,0.46608541042969986,0.45200183418615403,0.9634140567602625,False,False,True,False,0.5114122225741085,0.31585867440186743,0.34980977932063895,False,False,False,False,0.03395110491877151
R6_ATC_M3_AL24477_A0_RAD_EPD5,ATC_M3_AL24477,A0,RAD,5.0,R6_ATC_M3_AL24477_A0_RAD,R8_R6_ATC_M3_AL24477_A0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_A0_RAD_EDOF_EPD5,False,False,-0.19969787763774108,-0.1707615690657007,-0.008660839738226789,0.10616837888592269,0.08049814848066184,-0.025670230405260855,1.1624568699043127,2.2898150085600055,False,False,True,False,1.1273581386556928,0.630697350943281,1.3184247279811179,False,False,False,False,0.6877273770378368,0.34287170171006837,0.4105253890683728,False,False,False,False,0.06765368735830446
R6_ATC_M3_AL24477_A0_WFS_EPD3,ATC_M3_AL24477,A0,WFS,3.0,R6_ATC_M3_AL24477_A0_WFS,R8_R6_ATC_M3_AL24477_A0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_A0_WFS_EDOF_EPD3,False,False,-0.163978089728546,-0.163978089728546,-0.0027519507040639213,0.14281461068152163,0.1312236344663243,-0.011590976215197335,0.8131001494179703,1.3804919763194223,False,False,False,False,0.5673918269014521,0.4594003148458945,0.5851210987658663,False,False,False,False,0.12572078391997177,0.3200218504122463,0.36204442927419656,False,False,False,False,0.042022578861950266
R6_ATC_M3_AL24477_A0_WFS_EPD5,ATC_M3_AL24477,A0,WFS,5.0,R6_ATC_M3_AL24477_A0_WFS,R8_R6_ATC_M3_AL24477_A0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_A0_WFS_EDOF_EPD5,False,False,-0.06435323741756571,-0.05131227898638657,-0.0010779269059329744,0.10459868966719385,0.10018087768354948,-0.004417811983644368,1.579850723260094,1.9986415179886328,False,False,False,False,0.41879079472853875,0.8488035464556501,1.112029943136862,False,False,False,False,0.26322639668121195,0.40137116769284165,0.6920338420578419,False,False,False,False,0.29066267436500026
R6_ATC_M3_AL24477_B0_HOA_EPD3,ATC_M3_AL24477,B0,HOA,3.0,R6_ATC_M3_AL24477_B0_HOA,R8_R6_ATC_M3_AL24477_B0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_B0_HOA_EDOF_EPD3,False,False,-0.3050421053826042,-0.2253325058444699,-0.039725807439488496,0.14002573681438213,0.08006240761095362,-0.059963329203428506,1.5042740449791188,1.8911613481823522,False,False,False,False,0.3868873032032334,0.7858437723821621,0.7656362561760761,False,False,False,False,-0.020207516206085963,0.43884214683477096,0.4408897355047547,False,False,False,False,0.0020475886699837242
R6_ATC_M3_AL24477_B0_HOA_EPD5,ATC_M3_AL24477,B0,HOA,5.0,R6_ATC_M3_AL24477_B0_HOA,R8_R6_ATC_M3_AL24477_B0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_B0_HOA_EDOF_EPD5,False,False,-0.10164642439321198,-0.04329317917178997,-0.010396389092303747,0.08674042681954201,0.07248981961753893,-0.01425060720200308,3.5534933322964113,3.6780425318521965,False,False,False,False,0.12454919955578525,2.228316160967421,2.4757262172203025,False,False,False,False,0.24741005625288137,0.5913711139131804,1.5717903546960745,False,False,False,False,0.9804192407828941
R6_ATC_M3_AL24477_B0_RAD_EPD3,ATC_M3_AL24477,B0,RAD,3.0,R6_ATC_M3_AL24477_B0_RAD,R8_R6_ATC_M3_AL24477_B0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_B0_RAD_EDOF_EPD3,False,False,-0.4479517877042738,-0.2642221847623809,-0.01947405600613332,0.14386632347047268,0.07886120935517663,-0.06500511411529605,0.9413913512089103,1.2175449665600993,False,False,True,False,0.276153615351189,0.4814059019890129,0.9343443692358963,False,False,True,False,0.45293846724688336,0.3325022149959544,0.3311692388030638,False,False,True,False,-0.0013329761928905781
R6_ATC_M3_AL24477_B0_RAD_EPD5,ATC_M3_AL24477,B0,RAD,5.0,R6_ATC_M3_AL24477_B0_RAD,R8_R6_ATC_M3_AL24477_B0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,False,False,-0.13500778687493198,-0.07088719060878507,-0.008180148264051626,0.0998449549169492,0.07647524447845337,-0.023369710438495825,2.2210023253055016,3.005535909177174,False,False,True,False,0.7845335838716725,1.5551358631962113,1.225383208850891,False,False,False,False,-0.3297526543453204,0.490388354735624,0.7649143209958409,False,False,False,False,0.2745259662602169
R6_ATC_M3_AL24477_B0_WFS_EPD3,ATC_M3_AL24477,B0,WFS,3.0,R6_ATC_M3_AL24477_B0_WFS,R8_R6_ATC_M3_AL24477_B0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_B0_WFS_EDOF_EPD3,False,False,-0.18906057742327237,-0.18906057742327237,-0.005000220430779023,0.1434052880469612,0.1282229807642897,-0.015182307282671503,1.0999278624551634,2.0239952756203836,False,False,True,False,0.9240674131652202,0.5309385159577316,1.1189126950178345,False,False,False,False,0.587974179060103,0.3491744481389869,0.53909763785593,False,False,False,False,0.1899231897169431
R6_ATC_M3_AL24477_B0_WFS_EPD5,ATC_M3_AL24477,B0,WFS,5.0,R6_ATC_M3_AL24477_B0_WFS,R8_R6_ATC_M3_AL24477_B0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_B0_WFS_EDOF_EPD5,False,False,-0.06641238958740808,-0.0222619858851848,-0.0011563524707405848,0.09582667571380009,0.09144334381907712,-0.004383331894722967,2.6144395847365884,3.1650371229147605,False,False,False,False,0.550597538178172,1.5498658879921232,1.9458676553093026,False,False,False,False,0.3960017673171794,0.5111089669001241,0.6761948323374081,False,False,False,False,0.16508586543728399
