pair_key,mono_config_id,edof_config_id,distance_peak_retina_d,distance_peak_mtfa,mtfa_at_zero_d,dof50_width_d,tf_mtfa_mean,c40_um,c60_um,hoa_rms_um,delta_f_residual_d
R6_ATC_M3_AL24477_A0_HOA_EPD3,R8_R6_ATC_M3_AL24477_A0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_A0_HOA_EDOF_EPD3,-0.25,-0.3296542240917725,-0.3967660452688136,0.09532340742120837,-0.03988981179585597,-0.0366305129711602,0.1036835078902661,0.06438612519214235,-0.25
R6_ATC_M3_AL24477_A0_HOA_EPD5,R8_R6_ATC_M3_AL24477_A0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_A0_HOA_EDOF_EPD5,-0.375,-0.046742459239811185,-0.13655370562526492,0.03578938549954369,-0.011497742748888956,5.1735514531026094e-05,0.00793722028231816,0.0006767516892956515,-0.375
R6_ATC_M3_AL24477_A0_RAD_EPD3,R8_R6_ATC_M3_AL24477_A0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_A0_RAD_EDOF_EPD3,0.25,-0.343907977915535,-0.510956870960418,0.5114122225741085,-0.018324906060388557,-0.015073458407099937,-0.2128069979559513,0.20095343464471155,0.25
R6_ATC_M3_AL24477_A0_RAD_EPD5,R8_R6_ATC_M3_AL24477_A0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_A0_RAD_EDOF_EPD5,-0.25,-0.1707615690657007,-0.19969787763774108,0.6877273770378368,-0.008660839738226789,-0.1390768878967136,0.10172318168587541,-0.02501616535703921,-0.25
R6_ATC_M3_AL24477_A0_WFS_EPD3,R8_R6_ATC_M3_AL24477_A0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_A0_WFS_EDOF_EPD3,0.0,-0.163978089728546,-0.163978089728546,0.12572078391997177,-0.0027519507040638935,0.022754164209403262,-0.023842165783664923,0.028793956404254504,0.0
R6_ATC_M3_AL24477_A0_WFS_EPD5,R8_R6_ATC_M3_AL24477_A0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_A0_WFS_EDOF_EPD5,-0.125,-0.05131227898638657,-0.06435323741756571,0.26322639668121195,-0.0010779269059329744,-0.0008580321467445418,-0.005129966467046523,-0.0014804957116118234,-0.125
R6_ATC_M3_AL24477_B0_HOA_EPD3,R8_R6_ATC_M3_AL24477_B0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_B0_HOA_EDOF_EPD3,-0.25,-0.2253325058444699,-0.3050421053826042,-0.020207516206085963,-0.039725807439488524,-0.03651759854556763,0.10401277177767122,0.045961986778234876,-0.25
R6_ATC_M3_AL24477_B0_HOA_EPD5,R8_R6_ATC_M3_AL24477_B0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_B0_HOA_EDOF_EPD5,-0.625,-0.04329317917178997,-0.10164642439321198,0.24741005625288137,-0.010396389092303747,7.280571144074877e-05,0.007794010543353385,0.00018100745683202746,-0.625
R6_ATC_M3_AL24477_B0_RAD_EPD3,R8_R6_ATC_M3_AL24477_B0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_B0_RAD_EDOF_EPD3,0.875,-0.2642221847623809,-0.4479517877042738,0.45293846724688336,-0.01947405600613332,-0.013097982638504934,-0.21278267706715429,0.18085679144991224,0.875
R6_ATC_M3_AL24477_B0_RAD_EPD5,R8_R6_ATC_M3_AL24477_B0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,-0.625,-0.07088719060878507,-0.13500778687493198,-0.3297526543453204,-0.008180148264051626,-0.13970233312028438,0.10179954941987875,-0.10293125412170415,-0.625
R6_ATC_M3_AL24477_B0_WFS_EPD3,R8_R6_ATC_M3_AL24477_B0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_B0_WFS_EDOF_EPD3,0.0,-0.18906057742327237,-0.18906057742327237,0.587974179060103,-0.005000220430779009,0.0228088045596527,-0.023819316655468496,0.026995826649104243,0.0
R6_ATC_M3_AL24477_B0_WFS_EPD5,R8_R6_ATC_M3_AL24477_B0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_B0_WFS_EDOF_EPD5,-0.375,-0.0222619858851848,-0.06641238958740808,0.3960017673171794,-0.0011563524707405848,-0.0008366082094216076,-0.005156408081095917,-0.000890622229369975,-0.375
R6_ATC_M3_AL24477_C0_HOA_EPD3,R8_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD3,-0.25,-0.35199551355429104,-0.41356734577524745,0.11217778617474672,-0.03916094397427413,-0.035548303406636624,0.10562420299918758,0.0702592406977659,-0.25
R6_ATC_M3_AL24477_C0_HOA_EPD5,R8_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD5,0.75,-0.07120957972866615,-0.17233992760242706,0.09049700337074362,-0.014135960795279338,9.194855570576754e-05,0.007372791639304606,0.0021506271110470487,0.75
R6_ATC_M3_AL24477_C0_RAD_EPD3,R8_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD3,0.25,-0.3428524208932774,-0.5106972618186338,0.5234685765215881,-0.01752629073676533,-0.009293024408776251,-0.2128966474976891,0.2088392946420168,0.25
R6_ATC_M3_AL24477_C0_RAD_EPD5,R8_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD5,0.875,-0.10104587337759377,-0.21376032451103388,0.392398224281579,-0.004696587216763276,-0.14224067531920287,0.1016536529300283,0.16257929514463848,0.875
R6_ATC_M3_AL24477_C0_WFS_EPD3,R8_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD3,0.0,-0.15428176682892025,-0.15428176682892025,0.09081517582038678,-0.002240089108202753,0.02287114135663216,-0.02364316336012399,0.030345351987072826,0.0
R6_ATC_M3_AL24477_C0_WFS_EPD5,R8_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD5,0.0,-0.058514823051167675,-0.058514823051167675,0.05848561731530094,-0.0005173477512257357,-0.0006955697813956219,-0.0052413698380614215,-0.00023602447104847935,0.0
R6_ATC_M3_AL24477_N0_HOA_EPD3,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_N0_HOA_EDOF_EPD3,-0.25,-0.3456080789019693,-0.41479305287688983,0.13085634827922754,-0.03893539041696372,-0.03388633924268877,0.10731124757315297,0.07171013299252474,-0.25
R6_ATC_M3_AL24477_N0_HOA_EPD5,R8_R6_ATC_M3_AL24477_N0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_N0_HOA_EDOF_EPD5,-0.375,-0.04162113490033445,-0.14343803009300793,-0.21577176742182957,-0.010835636021728996,0.00026326696898137936,0.006793941236847626,0.0004543657852600358,-0.375
R6_ATC_M3_AL24477_N0_RAD_EPD3,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_N0_RAD_EDOF_EPD3,0.25,-0.3327535421467538,-0.5045757281537306,0.5273146298537259,-0.01699474619114283,-0.004821626121368419,-0.21273972927309556,0.20676059558871057,0.25
R6_ATC_M3_AL24477_N0_RAD_EPD5,R8_R6_ATC_M3_AL24477_N0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_N0_RAD_EDOF_EPD5,-0.25,-0.20381507105419927,-0.2205997459583196,0.09074912725453055,-0.006398758125503071,-0.14433464067402083,0.10165568098243381,0.02518563847632399,-0.25
R6_ATC_M3_AL24477_N0_WFS_EPD3,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_N0_WFS_EDOF_EPD3,0.0,-0.15336842553044566,-0.15336842553044566,0.08827281568714734,-0.0022028863335062376,0.022940607530275367,-0.023420002427004174,0.029358013119377795,0.0
R6_ATC_M3_AL24477_N0_WFS_EPD5,R8_R6_ATC_M3_AL24477_N0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_N0_WFS_EDOF_EPD5,-0.125,-0.05511183047066076,-0.06274181995956088,0.1375625336811921,-0.0009201482555681456,-0.0005157837866419934,-0.005347833752967635,-0.0007485053096136229,-0.125
R6_LB_AL2395_A0_HOA_EPD3,R8_R6_LB_AL2395_A0_HOA_MONO_EPD3,R8_R6_LB_AL2395_A0_HOA_EDOF_EPD3,-0.25,-0.3146824159062355,-0.3834451876245376,0.08085575912513754,-0.040131123951359954,-0.03733523875345559,0.10303574416622947,0.06044747822952925,-0.25
R6_LB_AL2395_A0_HOA_EPD5,R8_R6_LB_AL2395_A0_HOA_MONO_EPD5,R8_R6_LB_AL2395_A0_HOA_EDOF_EPD5,-0.375,-0.04693023208541697,-0.1305617907646653,-0.03661383292591469,-0.011601455533643577,-0.00010751360497052165,0.008237911246582005,0.0005083544088185232,-0.375
R6_LB_AL2395_A0_RAD_EPD3,R8_R6_LB_AL2395_A0_RAD_MONO_EPD3,R8_R6_LB_AL2395_A0_RAD_EDOF_EPD3,0.875,-0.33355857444019504,-0.5067091058307884,0.49342385572467157,-0.018666731658599903,-0.015591074290189605,-0.21295680319437993,0.19719937038516028,0.875
R6_LB_AL2395_A0_RAD_EPD5,R8_R6_LB_AL2395_A0_RAD_MONO_EPD5,R8_R6_LB_AL2395_A0_RAD_EDOF_EPD5,-0.375,-0.1537169164474563,-0.18159998959454426,0.8644285723383656,-0.00888531876881115,-0.136559318466502,0.10142986754567622,-0.046492997754749216,-0.375
R6_LB_AL2395_A0_WFS_EPD3,R8_R6_LB_AL2395_A0_WFS_MONO_EPD3,R8_R6_LB_AL2395_A0_WFS_EDOF_EPD3,0.0,-0.1717994700822097,-0.1717994700822097,0.16006171800909463,-0.0032033048471903497,0.022800120100436392,-0.02397366902795608,0.028442286456896428,0.0
R6_LB_AL2395_A0_WFS_EPD5,R8_R6_LB_AL2395_A0_WFS_MONO_EPD5,R8_R6_LB_AL2395_A0_WFS_EDOF_EPD5,-0.125,-0.048256103191604754,-0.06516761318978778,0.2601393861869893,-0.0010453304404723363,-0.0009613750962589596,-0.00509209159399503,-0.0015010232904905108,-0.125
R6_LB_AL2395_B0_HOA_EPD3,R8_R6_LB_AL2395_B0_HOA_MONO_EPD3,R8_R6_LB_AL2395_B0_HOA_EDOF_EPD3,-0.25,-0.20979494426570114,-0.2906887120838939,-0.06848436881963371,-0.03967452922632246,-0.037276841144009004,0.10334725251086106,0.042610628954420596,-0.25
