run_id,config_id,pair_key,base_id,cornea_id,platform_id,optic_state,pupil_mm,defocus_retina_d,defocus_shape_d,mtfa,mtf10,mtf20,mtf30,mtf40,mtf50,mtf60
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,1.0,1.0,0.06904768333061742,0.03613370003123621,0.009207314383893219,0.0068620095510560485,0.008649834059504308,3.824710531613796e-05,0.0014941889248186872
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,0.875,0.875,0.07941377411480895,0.041424284793131795,0.02277208633052936,0.015871060492628812,0.005737633465241013,0.010262558972108426,0.008122388303522068
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,0.75,0.75,0.09140786690032009,0.0019467536567118286,0.034487062322972835,0.0031271760457048927,0.015099496249379868,0.009021877752875804,0.008125281121275899
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,0.625,0.625,0.10535282861001831,0.09538622528046976,0.00611556138355126,0.03001900592367228,0.007688864382659577,0.0018052765257658384,0.001045889670631216
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,0.5,0.5,0.13345549867571094,0.24874229048204516,0.01191503062307677,0.012381074047556385,0.02481091487775966,0.023140507250175604,0.01845085628018846
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,0.375,0.375,0.17406616546469947,0.4386533721995873,0.07421826035994705,0.007629447650750356,0.017133127864084233,0.01570323362594224,0.016046777547906493
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,0.25,0.25,0.2704457751157003,0.6307768737189748,0.3028144381300223,0.13664035608217714,0.05296672843647764,0.011568362204467693,0.005006293523984135
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,0.125,0.125,0.49377765225910975,0.7838903324429616,0.5815159832913186,0.4411317561563266,0.3336138999611022,0.24388684110930972,0.1684215651355536
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,0.0,0.0,0.629274885924197,0.8610189443150962,0.7306774107549187,0.6146065351518776,0.5074330210074742,0.40823302774324255,0.31215428100900133
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-0.125,-0.125,0.5057485789092704,0.8403238805043389,0.627895765310986,0.431952055552753,0.30183214380643447,0.23701090569320338,0.206881461803892
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-0.25,-0.25,0.2708928692359135,0.7222011808244329,0.32340998495413664,0.07294138151575996,0.00644088870602888,0.007187059296424617,0.016480104858424733
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-0.375,-0.375,0.2108040132993465,0.5300945374633944,0.009040176735574055,0.10367625008794452,0.05574711577539959,0.024727221949535236,0.020171055707688006
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-0.5,-0.5,0.16887563421126828,0.30450369833376867,0.13842863536445163,0.02937673329041125,0.037940155530903207,0.035838382012165354,0.022771059606781364
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-0.625,-0.625,0.1382974481649651,0.09191127629698609,0.09411259088343513,0.061889647608178,0.028680212544543792,0.006634597924698035,0.009262282428076949
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-0.75,-0.75,0.11807770448732824,0.06793309152048971,0.022211604401744942,0.028247134339889936,0.02215457898795752,0.014820859888076693,0.011132796869842592
supplemental-1-b7a85f6f8dcc4ac9853c6a4771bac31d,R8_R6_LB_AL2395_N0_WFS_MONO_EPD3,R6_LB_AL2395_N0_WFS_EPD3,LB_AL2395,N0,WFS,MONO,3.0,-0.875,-0.875,0.10087708024245394,0.15236524526865416,0.07670502449944201,0.0292993755912826,0.001437304530349357,0.010748786390245771,0.004747774547915084
