cornea_id,platform_id,platform_label,stratum_count,dof50_censored_count,dof50_mean_bound_status,dof50_mean_lower_bound,dof50_mean_upper_bound,peak_censored_count,delta_dof50_width_d_direction,delta_dof50_width_d_mean,delta_dof50_width_d_min,delta_dof50_width_d_max,delta_distance_peak_mtfa_direction,delta_distance_peak_mtfa_mean,delta_distance_peak_mtfa_min,delta_distance_peak_mtfa_max,delta_mtfa_at_zero_d_direction,delta_mtfa_at_zero_d_mean,delta_mtfa_at_zero_d_min,delta_mtfa_at_zero_d_max,delta_tf_mtfa_mean_direction,delta_tf_mtfa_mean_mean,delta_tf_mtfa_mean_min,delta_tf_mtfa_mean_max,delta_c40_um_direction,delta_c60_um_direction,delta_hoa_rms_um_direction,delta_f_residual_d_direction
N0,WFS,WFS-like,4,0,exact,0.07268337890045778,0.07268337890045778,0,+3/00/-1,0.07268337890045778,-0.0010237923222495837,0.14159845696305828,+0/00/-4,-0.08306941412357148,-0.16136240698764387,-0.0070055074866848255,+0/00/-4,-0.11016597242185,-0.16136240698764387,-0.06274181995956088,+0/00/-4,-0.0060948671332591055,-0.009042243762689861,-0.0027208353346698383,+2/00/-2,+0/00/-4,+2/00/-2,+0/02/-2
N0,RAD,RAD-like,4,3,lower_bound,0.2146564589681423,,1,+4/00/-0,0.2146564589681423,0.03243586620693756,0.4641684723686813,+0/00/-4,-0.22187526880138114,-0.3332210833537792,-0.1058708042719724,+0/00/-4,-0.35638970781126184,-0.5078229890683,-0.192560368064697,+0/00/-4,-0.038913757762381054,-0.05762750290628907,-0.02069548163882816,+0/00/-4,+2/00/-2,+3/00/-1,+2/00/-2
N0,HOA,HOA-like,4,0,exact,0.014974676110163343,0.014974676110163343,0,+2/00/-2,0.014974676110163343,-0.18050605738235426,0.18303149991651158,+0/00/-4,-0.19883166686964246,-0.3456080789019693,-0.05318132376364501,+0/00/-4,-0.2743837856508558,-0.41479305287688983,-0.13822305386406608,+0/00/-4,-0.04191075072959197,-0.06385979432164043,-0.02014864374046811,+2/00/-2,+4/00/-0,+4/00/-0,+0/00/-4
A0,WFS,WFS-like,4,0,exact,0.1483716203750432,0.1483716203750432,0,+4/00/-0,0.1483716203750432,0.07683878793228893,0.23163812039211207,+0/00/-4,-0.0945836897988918,-0.1717994700822097,-0.0196460245678447,+0/00/-4,-0.11632460260452729,-0.1717994700822097,-0.06435323741756571,+0/00/-4,-0.00811789330138649,-0.010952592493976537,-0.005587642189178482,+2/00/-2,+0/00/-4,+2/00/-2,+0/02/-2
A0,RAD,RAD-like,4,4,lower_bound,0.2937145396170697,,2,+4/00/-0,0.2937145396170697,0.030214955598800053,0.5845171630484483,+0/00/-4,-0.23004946848351204,-0.3466934922128891,-0.09830159128203439,+0/00/-4,-0.34974096100587293,-0.510956870960418,-0.18159998959454426,+0/00/-4,-0.04317114360712987,-0.0617740289789417,-0.02493132230255346,+0/00/-4,+2/00/-2,+2/00/-2,+2/00/-2
A0,HOA,HOA-like,4,0,exact,0.09643805894391672,0.09643805894391672,1,+4/00/-0,0.09643805894391672,0.04724077209214794,0.1384796889527764,+0/00/-4,-0.1905862555971007,-0.3296542240917725,-0.05875612871762456,+0/00/-4,-0.2618316823208203,-0.3967660452688136,-0.1305617907646653,+0/00/-4,-0.04178158717831275,-0.06443321379146848,-0.017884512231117283,+1/00/-3,+4/00/-0,+4/00/-0,+0/00/-4
B0,WFS,WFS-like,4,2,lower_bound,0.6044428343550707,,2,+4/00/-0,0.6044428343550707,0.5084099357926097,0.7425648857759279,+0/00/-4,-0.11495231961792149,-0.18906057742327237,-0.03713001226024751,+0/00/-4,-0.12735147378706987,-0.18906057742327237,-0.06589396139892663,+0/00/-4,-0.009706687986300564,-0.015662159391620523,-0.004119132720176999,+2/00/-2,+0/00/-4,+2/00/-2,+0/02/-2
B0,RAD,RAD-like,4,4,lower_bound,-0.12110931403616193,,0,+2/00/-2,-0.12110931403616196,-0.9628294880918479,0.47222823600541775,+0/00/-4,-0.17930983843300208,-0.29502447733306,-0.0670836449754231,+0/00/-4,-0.28494323960043266,-0.4479517877042738,-0.12650996541068907,+0/00/-4,-0.043262279241003065,-0.06531043071539144,-0.021271261984785433,+0/00/-4,+2/00/-2,+2/00/-2,+4/00/-0
B0,HOA,HOA-like,4,3,upper_bound,,0.1359074004480557,2,+3/00/-1,0.1359074004480557,-0.043185434052602445,0.2962370756940782,+0/00/-4,-0.12998129041326176,-0.2253325058444699,-0.04181746091348561,+0/00/-4,-0.19858795078824235,-0.3050421053826042,-0.09697456129325932,+0/00/-4,-0.036910109759676,-0.05995643620162641,-0.013408094049717337,+1/00/-3,+4/00/-0,+4/00/-0,+0/00/-4
C0,WFS,WFS-like,4,1,lower_bound,0.1721302772082077,,0,+4/00/-0,0.1721302772082077,0.09656701170476878,0.3249052686913355,+0/00/-4,-0.1095166996834139,-0.16269135781296923,-0.058514823051167675,+0/00/-4,-0.1095166996834139,-0.16269135781296923,-0.058514823051167675,+0/00/-4,-0.005799003589045839,-0.00909373133491373,-0.0026916934750472604,+2/00/-2,+0/00/-4,+2/00/-2,+0/04/-0
