pair_key,mono_config_id,edof_config_id,distance_peak_retina_d,distance_peak_mtfa,mtfa_at_zero_d,dof50_width_d,tf_mtfa_mean,c40_um,c60_um,hoa_rms_um,delta_f_residual_d
R6_ATC_M3_AL24477_A0_HOA_EPD3,R8_R6_ATC_M3_AL24477_A0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_A0_HOA_EDOF_EPD3,-0.25,-0.3296542240917725,-0.3967660452688136,0.1384796889527764,-0.06439776869288683,-0.0366305129711602,0.1036835078902661,0.06438612519214235,-0.25
R6_ATC_M3_AL24477_A0_HOA_EPD5,R8_R6_ATC_M3_AL24477_A0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_A0_HOA_EDOF_EPD5,-0.25,-0.05925225367277029,-0.13655370562526492,0.07851715968350947,-0.020410853997778422,5.1735514531026094e-05,0.00793722028231816,0.0006767516892956515,-0.25
R6_ATC_M3_AL24477_A0_RAD_EPD3,R8_R6_ATC_M3_AL24477_A0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_A0_RAD_EDOF_EPD3,0.25,-0.343907977915535,-0.510956870960418,0.030214955598800053,-0.06045599008420541,-0.015073458407099937,-0.2128069979559513,0.20095343464471155,0.25
R6_ATC_M3_AL24477_A0_RAD_EPD5,R8_R6_ATC_M3_AL24477_A0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_A0_RAD_EDOF_EPD5,-0.5,-0.13129481252358968,-0.19969787763774108,0.5845171630484483,-0.02493132230255346,-0.1390768878967136,0.10172318168587541,-0.02501616535703921,-0.5
R6_ATC_M3_AL24477_A0_WFS_EPD3,R8_R6_ATC_M3_AL24477_A0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_A0_WFS_EDOF_EPD3,0.0,-0.163978089728546,-0.163978089728546,0.1763673191010693,-0.009778173604197943,0.022754164209403262,-0.023842165783664923,0.028793956404254504,0.0
R6_ATC_M3_AL24477_A0_WFS_EPD5,R8_R6_ATC_M3_AL24477_A0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_A0_WFS_EDOF_EPD5,-0.25,-0.0196460245678447,-0.06435323741756571,0.07683878793228893,-0.005587642189178482,-0.0008580321467445418,-0.005129966467046523,-0.0014804957116118234,-0.25
R6_ATC_M3_AL24477_B0_HOA_EPD3,R8_R6_ATC_M3_AL24477_B0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_B0_HOA_EDOF_EPD3,-0.25,-0.2253325058444699,-0.3050421053826042,0.0007791037668798406,-0.05995643620162641,-0.03651759854556763,0.10401277177767122,0.045961986778234876,-0.25
R6_ATC_M3_AL24477_B0_HOA_EPD5,R8_R6_ATC_M3_AL24477_B0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_B0_HOA_EDOF_EPD5,-0.5,-0.04181746091348561,-0.10164642439321198,0.2962370756940782,-0.014988230522990434,7.280571144074877e-05,0.007794010543353385,0.00018100745683202746,-0.5
R6_ATC_M3_AL24477_B0_RAD_EPD3,R8_R6_ATC_M3_AL24477_B0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_B0_RAD_EDOF_EPD3,0.25,-0.29502447733306,-0.4479517877042738,0.00828187842850231,-0.06430388655053886,-0.013097982638504934,-0.21278267706715429,0.18085679144991224,0.25
R6_ATC_M3_AL24477_B0_RAD_EPD5,R8_R6_ATC_M3_AL24477_B0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_B0_RAD_EDOF_EPD5,0.25,-0.07106188424534149,-0.13500778687493198,0.47222823600541775,-0.021271261984785433,-0.13970233312028438,0.10179954941987875,-0.10293125412170415,0.25
R6_ATC_M3_AL24477_B0_WFS_EPD3,R8_R6_ATC_M3_AL24477_B0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_B0_WFS_EDOF_EPD3,0.0,-0.18906057742327237,-0.18906057742327237,0.5191255496894831,-0.01492360170798529,0.0228088045596527,-0.023819316655468496,0.026995826649104243,0.0
R6_ATC_M3_AL24477_B0_WFS_EPD5,R8_R6_ATC_M3_AL24477_B0_WFS_MONO_EPD5,R8_R6_ATC_M3_AL24477_B0_WFS_EDOF_EPD5,-0.5,-0.045579722049493676,-0.06641238958740808,0.6476709661622622,-0.004119132720176999,-0.0008366082094216076,-0.005156408081095917,-0.000890622229369975,-0.5
R6_ATC_M3_AL24477_C0_HOA_EPD3,R8_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD3,R8_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD3,-0.25,-0.35199551355429104,-0.41356734577524745,0.15595055741937114,-0.06383022820632109,-0.035548303406636624,0.10562420299918758,0.0702592406977659,-0.25
R6_ATC_M3_AL24477_C0_HOA_EPD5,R8_R6_ATC_M3_AL24477_C0_HOA_MONO_EPD5,R8_R6_ATC_M3_AL24477_C0_HOA_EDOF_EPD5,-0.25,-0.16362556886146984,-0.17233992760242706,0.5097459936990129,-0.021336278057918844,9.194855570576754e-05,0.007372791639304606,0.0021506271110470487,-0.25
R6_ATC_M3_AL24477_C0_RAD_EPD3,R8_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD3,R8_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD3,0.25,-0.3428524208932774,-0.5106972618186338,0.0330801938694002,-0.057844367476319006,-0.009293024408776251,-0.2128966474976891,0.2088392946420168,0.25
R6_ATC_M3_AL24477_C0_RAD_EPD5,R8_R6_ATC_M3_AL24477_C0_RAD_MONO_EPD5,R8_R6_ATC_M3_AL24477_C0_RAD_EDOF_EPD5,0.25,-0.1693702738996385,-0.21376032451103388,0.19463219762582845,-0.02218276849971767,-0.14224067531920287,0.1016536529300283,0.16257929514463848,0.25
R6_ATC_M3_AL24477_C0_WFS_EPD3,R8_R6_ATC_M3_AL24477_C0_WFS_MONO_EPD3,R8_R6_ATC_M3_AL24477_C0_WFS_EDOF_EPD3,0.0,-0.15428176682892025,-0.15428176682892025,0.11907183583585368,-0.00818975694615326,0.02287114135663216,-0.02364316336012399,0.030345351987072826,0.0
