carrier_id,base_id,cornea_id,platform_id,power_d,q,r_ant_mm,r_post_mm,achieved_sa_um,actual_eye_sha256,recheck_cycles,final_vergence_shift_d
CAR_LB_AL2395_A0_WFS,LB_AL2395,A0,WFS,25.47664933274738,-4.0,9.691751469139794,-9.691751469139794,-0.20039416678336214,d8e96aa9b4000e40e3a3c1665f859fe296699be6af5535b9f063620929199bd1,1,-0.0041012985449153105
CAR_LB_AL2395_A0_RAD,LB_AL2395,A0,RAD,25.587058690007545,-5.75,9.649746242126184,-9.649746242126184,-0.2693770615875419,39f7b6d1a5a616edc0681c52daaf4d27b68b33e072a7ea2cf453a5b733d20d33,1,0.0112388186711751
CAR_LB_AL2395_A0_HOA,LB_AL2395,A0,HOA,25.25866463479957,0.0,9.77576192316701,-9.77576192316701,0.0,44437124c337fccc476650cdb4d3166f6db7c72f86b0370c3845946926a32244,0,-0.0018989592684732215
CAR_LB_AL2395_B0_WFS,LB_AL2395,B0,WFS,25.250394327104946,-4.0,9.778977827058918,-9.778977827058918,-0.19549643312848047,8bf5ba434ce0f51655cfa18dc7462a39e8e0edacafaac155048493bd8e3cea36,1,0.012234061522010509
CAR_LB_AL2395_B0_RAD,LB_AL2395,B0,RAD,25.359870826672164,-6.0,9.736577844363747,-9.736577844363747,-0.27162396586203297,3849f21bd6a42074c0bbbeb263b8aa19bc4464fee1e635a31b7b507b1b5b08b9,1,0.01563056908137045
CAR_LB_AL2395_B0_HOA,LB_AL2395,B0,HOA,25.024515870585414,0.0,9.86763233633064,-9.86763233633064,0.0,28edaddb7af14796cc15df179b4cd3e4bb75dbe64526fd916118a9896eb46cf9,0,-0.0005708432091073856
CAR_LB_AL2395_C0_WFS,LB_AL2395,C0,WFS,23.040397656254928,-5.5,10.721068486382887,-10.721068486382887,-0.19674204160429426,b71c52c780fc8602470a067c245fff02057f41d2d04ce307469d0d373295a591,1,0.020839290846398795
CAR_LB_AL2395_C0_RAD,LB_AL2395,C0,RAD,23.135902257207807,-8.25,10.676635402069872,-10.676635402069872,-0.2705498806793589,029e1f7172d702f1e9646de3e07b961af5e144bfda61a81741da8ad7a03f4fca,1,0.006829851590725355
CAR_LB_AL2395_C0_HOA,LB_AL2395,C0,HOA,22.80283218457752,0.0,10.8332091277443,-10.8332091277443,0.0,15e172193d25b62692247b1f0bebf513ee2c5252e035ee37d9eaa72182aadbea,0,0.002169961114784069
CAR_ATC_M3_AL24477_A0_WFS,ATC_M3_AL24477,A0,WFS,23.514173331162155,-5.25,10.504192351519624,-10.504192351519624,-0.20030198633369173,6625a33a13513c7958b7088f8b05fb81a28ea7850ebaa0a4da436bfb7bf4e909,1,0.010734782332140425
CAR_ATC_M3_AL24477_A0_RAD,ATC_M3_AL24477,A0,RAD,23.620936598292303,-7.5,10.456521391755427,-10.456521391755427,-0.2662502516368243,6e43555380d0ed0cb75c3aea170ddb80f311ca880641cc8437ebb864c26d0941,1,0.021556275633344613
CAR_ATC_M3_AL24477_A0_HOA,ATC_M3_AL24477,A0,HOA,23.276317052966775,0.0,10.6119701735952,-10.6119701735952,0.0,0568db7dc45dbcdb182e9f36d95d10d614b0a982bafdd452939be04bf811d055,0,-0.0016232850418704814
CAR_ATC_M3_AL24477_B0_WFS,ATC_M3_AL24477,B0,WFS,23.267472629206676,-5.5,10.6160202643541,-10.6160202643541,-0.20201378282729404,5edfebe847c7cf35167bcb1249829e8b1f67368586cae6b047f9a7f100fea304,1,-0.0036787840181880527
CAR_ATC_M3_AL24477_B0_RAD,ATC_M3_AL24477,B0,RAD,23.396163263289615,-8.0,10.557391355596328,-10.557391355596328,-0.2722601071026305,fcd1d17677ba7b93f0ff3c36e9fa840103dc497f42e47b19012c28b8dff3d42f,1,0.02236392907590712
CAR_ATC_M3_AL24477_B0_HOA,ATC_M3_AL24477,B0,HOA,23.04115487685293,0.0,10.7207147442787,-10.7207147442787,0.0,a45cf4542fcb8de08abfb87496f78682341418e1707e966dcdceecf6050cb7f8,0,-0.0007490827714929371
CAR_ATC_M3_AL24477_C0_WFS,ATC_M3_AL24477,C0,WFS,21.05255871628924,-7.5,11.737420818885735,-11.737420818885735,-0.197433161326326,6fc2f77a614e267cb2c04cd45b5a262132183f88ee4e3306a6ef901ab22e1767,1,0.012754367417434687
CAR_ATC_M3_AL24477_C0_RAD,ATC_M3_AL24477,C0,RAD,21.177612325137524,-11.0,11.66785886223489,-11.66785886223489,-0.2657565791059397,27ce932568890795cd8eb26ace5ae49223982ee71aa30fc8f2069e5ff41a874b,1,0.03271321179234549
CAR_ATC_M3_AL24477_C0_HOA,ATC_M3_AL24477,C0,HOA,20.814928860453236,0.0,11.8719072684107,-11.8719072684107,0.0,8b4e19760587dbbfd266e7f25340a80e30c90023d1a7842a63a23fe93b7ea24a,0,0.0024576512276071605
