run_id,config_id,pair_key,base_id,cornea_id,platform_id,optic_state,pupil_mm,defocus_retina_d,defocus_shape_d,mtfa,mtf10,mtf20,mtf30,mtf40,mtf50,mtf60
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,0.5,0.5,0.1586585295702942,0.36411675132533494,0.07316014398296873,0.013744418399085061,0.004558677951453765,0.011612443131214628,0.015221405413307717
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,0.25,0.25,0.35403471808535575,0.664739203887423,0.4111204187793459,0.26966329983305926,0.17077279824222366,0.096015860985461,0.04817939172699033
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,0.0,0.0,0.5711105562017111,0.8292997055386017,0.6728330654115402,0.5399127077569906,0.43078649450535145,0.3374283116995566,0.2401938646566325
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-0.25,-0.25,0.30045494045777493,0.7259871965904864,0.3396598818067276,0.10479302815874614,0.042474309375630355,0.05705867557920506,0.09381866172264515
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-0.5,-0.5,0.1721729182361461,0.3928999865889995,0.1052587430367762,0.07026614631605331,0.004044236989584,0.0006807828613512064,0.012560026067228714
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-0.75,-0.75,0.13596757155457814,0.025752446583363193,0.059839152854789544,0.06720767399545137,0.02464296760114622,0.01571579682598745,0.019178593761706844
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-1.0,-1.0,0.10289164680262264,0.17056185565263748,0.08481933920198041,0.02547310469209519,0.012290501035151105,0.006126360724305196,0.006785740741958678
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-1.25,-1.25,0.08442689800776454,0.13983205062763834,0.006076952465234607,0.011634931950082248,0.012786049252283948,0.007463938747263962,0.00609252218285736
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-1.5,-1.5,0.06957103072032432,0.0010626002704245123,0.03130063996003202,0.0019303328915417528,0.00807024006318245,0.003757693933286417,0.0018293475227192004
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-1.75,-1.75,0.0597820707836667,0.08823859316754644,0.02973880736131602,0.0049471832536489855,0.006879540214058857,0.005557259884539227,0.00038753367178856246
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-2.0,-2.0,0.052313621595841166,0.05913705598679294,0.00371180575598998,0.009109405603577675,0.0058226724185196175,0.0038367973328279716,0.0015649700847549545
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-2.25,-2.25,0.0460566101355482,0.01883756280457372,0.013035434354256147,0.006913335093203013,0.006142812972992636,0.0031660211140618383,0.0022078243678216557
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-2.5,-2.5,0.04137607735596582,0.04918974007587464,0.016138488401035225,0.008034705198913916,0.004328551173315202,0.003070568679089702,0.0019078032944087593
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-2.75,-2.75,0.037470127605278084,0.013436301525341643,0.006234510266995587,0.006990986942318229,0.0036111630043231275,0.002245056478943187,0.0023500508805131323
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD3,CAR_ATC_M3_AL24477_A0_HOA_EPD3,ATC_M3_AL24477,A0,HOA,MONO,3.0,-3.0,-3.0,0.03428848958111155,0.028527497193110388,0.005211100277033197,0.005955267795727763,0.0032907506314732806,0.0018361414439822393,0.001284746389328538
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,0.5,0.5,0.07246805865169786,0.11199611392449763,0.039029654324022854,0.01479188383266882,0.00998306835173404,0.0009535009380658737,0.0025495502965776746
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,0.25,0.25,0.13107829692523004,0.18344238174351093,0.1235874248841766,0.07857203348727702,0.054798945465476,0.028733318773771513,0.010858340127670563
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,0.0,0.0,0.23069421029052128,0.305250335369599,0.22967201049054822,0.1806753088053911,0.1553085422639763,0.1268011070228039,0.0909336857657232
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,-0.25,-0.25,0.2153235026087588,0.3977856407045222,0.2172240415978849,0.1250175006297648,0.07678706833014956,0.06370502810844568,0.07404177611345208
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,-0.5,-0.5,0.17035497015639972,0.3477915812423328,0.07183453254752219,0.013672392904469106,0.053024538517797974,0.06402192637958638,0.05391758426086594
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,-0.75,-0.75,0.14129012129761456,0.22194746979923372,0.0019101402288315026,0.09840777370515694,0.030115757206732142,0.009065060270639722,0.0008477495658687464
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,-1.0,-1.0,0.14933010919241402,0.09111972898363697,0.18021079566528628,0.007792868677924617,0.08841831537420021,0.03419258276435917,0.007871672753238619
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,-1.25,-1.25,0.10095238085585923,0.027885850417719165,0.0004567039229922409,0.06905104517029244,0.0060425153581620365,0.036868474618172685,0.012892532610824207
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,-1.5,-1.5,0.08187513472950173,0.005886918749991196,0.010722649592476348,0.014189587409393353,0.024171558973256343,0.024972948311803574,0.007965801448226213
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,-1.75,-1.75,0.0740176282962326,0.12999962868407855,0.03345113354710305,0.007347430849990378,0.011506737137968081,0.009434599328986272,0.011529618789882129
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,-2.0,-2.0,0.06890737138009709,0.033846986550212815,0.03690822778788981,0.04353237632404444,0.0016289895920603929,0.0068208646669805275,0.007452671308399218
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,-2.25,-2.25,0.06329168413758503,0.11932946779443131,0.033731233112881676,0.0036745125291795353,0.0015594858044092597,0.012010180083182253,0.005128658742928065
analysis-1cc1441dec4744a18d7ac73763507a6c,CFG_ATC_M3_AL24477_A0_HOA_MONO_EPD5,CAR_ATC_M3_AL24477_A0_HOA_EPD5,ATC_M3_AL24477,A0,HOA,MONO,5.0,-2.5,-2.5,0.055146181787653674,0.005908030667982768,0.016001318826679163,0.027241801934865577,2.2869662856899836e-05,0.003165492490628731,0.0014373797171240244
