contrast_type,outcome,label,base_id,cornea_id,platform_id,pupil_mm,value,bound_status,lower_bound,upper_bound,source_pair_keys,source_dof50_statuses,source_peak_censored
platform,delta_dof50_width_d,WFS-RAD,LB_AL2395,A0,,3.0,0.08425724167640047,exact,0.08425724167640047,0.08425724167640047,"[""CAR_LB_AL2395_A0_WFS_EPD3"",""CAR_LB_AL2395_A0_RAD_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-HOA,LB_AL2395,A0,,3.0,-0.42030279028138395,exact,-0.42030279028138395,-0.42030279028138395,"[""CAR_LB_AL2395_A0_WFS_EPD3"",""CAR_LB_AL2395_A0_HOA_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,RAD-HOA,LB_AL2395,A0,,3.0,-0.5045600319577844,exact,-0.5045600319577844,-0.5045600319577844,"[""CAR_LB_AL2395_A0_RAD_EPD3"",""CAR_LB_AL2395_A0_HOA_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-RAD,LB_AL2395,A0,,5.0,0.07224425560225467,exact,0.07224425560225467,0.07224425560225467,"[""CAR_LB_AL2395_A0_WFS_EPD5"",""CAR_LB_AL2395_A0_RAD_EPD5""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-HOA,LB_AL2395,A0,,5.0,0.35432217253237797,exact,0.35432217253237797,0.35432217253237797,"[""CAR_LB_AL2395_A0_WFS_EPD5"",""CAR_LB_AL2395_A0_HOA_EPD5""]","[""exact"",""exact""]",True
platform,delta_dof50_width_d,RAD-HOA,LB_AL2395,A0,,5.0,0.2820779169301233,exact,0.2820779169301233,0.2820779169301233,"[""CAR_LB_AL2395_A0_RAD_EPD5"",""CAR_LB_AL2395_A0_HOA_EPD5""]","[""exact"",""exact""]",True
platform,delta_dof50_width_d,WFS-RAD,LB_AL2395,B0,,3.0,0.24150255463959436,lower_bound,0.24150255463959436,,"[""CAR_LB_AL2395_B0_WFS_EPD3"",""CAR_LB_AL2395_B0_RAD_EPD3""]","[""lower_bound"",""exact""]",False
platform,delta_dof50_width_d,WFS-HOA,LB_AL2395,B0,,3.0,-0.26823944503820973,lower_bound,-0.26823944503820973,,"[""CAR_LB_AL2395_B0_WFS_EPD3"",""CAR_LB_AL2395_B0_HOA_EPD3""]","[""lower_bound"",""exact""]",False
platform,delta_dof50_width_d,RAD-HOA,LB_AL2395,B0,,3.0,-0.5097419996778041,exact,-0.5097419996778041,-0.5097419996778041,"[""CAR_LB_AL2395_B0_RAD_EPD3"",""CAR_LB_AL2395_B0_HOA_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-RAD,LB_AL2395,B0,,5.0,-0.13802808905349195,exact,-0.13802808905349195,-0.13802808905349195,"[""CAR_LB_AL2395_B0_WFS_EPD5"",""CAR_LB_AL2395_B0_RAD_EPD5""]","[""exact"",""exact""]",True
platform,delta_dof50_width_d,WFS-HOA,LB_AL2395,B0,,5.0,0.2618201597094474,exact,0.2618201597094474,0.2618201597094474,"[""CAR_LB_AL2395_B0_WFS_EPD5"",""CAR_LB_AL2395_B0_HOA_EPD5""]","[""exact"",""exact""]",True
platform,delta_dof50_width_d,RAD-HOA,LB_AL2395,B0,,5.0,0.39984824876293934,exact,0.39984824876293934,0.39984824876293934,"[""CAR_LB_AL2395_B0_RAD_EPD5"",""CAR_LB_AL2395_B0_HOA_EPD5""]","[""exact"",""exact""]",True
platform,delta_dof50_width_d,WFS-RAD,LB_AL2395,C0,,3.0,0.018014361325871753,exact,0.018014361325871753,0.018014361325871753,"[""CAR_LB_AL2395_C0_WFS_EPD3"",""CAR_LB_AL2395_C0_RAD_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-HOA,LB_AL2395,C0,,3.0,-0.49926552417169023,exact,-0.49926552417169023,-0.49926552417169023,"[""CAR_LB_AL2395_C0_WFS_EPD3"",""CAR_LB_AL2395_C0_HOA_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,RAD-HOA,LB_AL2395,C0,,3.0,-0.517279885497562,exact,-0.517279885497562,-0.517279885497562,"[""CAR_LB_AL2395_C0_RAD_EPD3"",""CAR_LB_AL2395_C0_HOA_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-RAD,LB_AL2395,C0,,5.0,-0.20168128387865158,upper_bound,,-0.20168128387865158,"[""CAR_LB_AL2395_C0_WFS_EPD5"",""CAR_LB_AL2395_C0_RAD_EPD5""]","[""exact"",""lower_bound""]",False
platform,delta_dof50_width_d,WFS-HOA,LB_AL2395,C0,,5.0,0.19743382096215956,exact,0.19743382096215956,0.19743382096215956,"[""CAR_LB_AL2395_C0_WFS_EPD5"",""CAR_LB_AL2395_C0_HOA_EPD5""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,RAD-HOA,LB_AL2395,C0,,5.0,0.39911510484081114,lower_bound,0.39911510484081114,,"[""CAR_LB_AL2395_C0_RAD_EPD5"",""CAR_LB_AL2395_C0_HOA_EPD5""]","[""lower_bound"",""exact""]",False
platform,delta_dof50_width_d,WFS-RAD,ATC_M3_AL24477,A0,,3.0,0.023759916260547964,exact,0.023759916260547964,0.023759916260547964,"[""CAR_ATC_M3_AL24477_A0_WFS_EPD3"",""CAR_ATC_M3_AL24477_A0_RAD_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-HOA,ATC_M3_AL24477,A0,,3.0,-0.43922224276909816,exact,-0.43922224276909816,-0.43922224276909816,"[""CAR_ATC_M3_AL24477_A0_WFS_EPD3"",""CAR_ATC_M3_AL24477_A0_HOA_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,RAD-HOA,ATC_M3_AL24477,A0,,3.0,-0.4629821590296461,exact,-0.4629821590296461,-0.4629821590296461,"[""CAR_ATC_M3_AL24477_A0_RAD_EPD3"",""CAR_ATC_M3_AL24477_A0_HOA_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-RAD,ATC_M3_AL24477,A0,,5.0,-0.06055831590964922,exact,-0.06055831590964922,-0.06055831590964922,"[""CAR_ATC_M3_AL24477_A0_WFS_EPD5"",""CAR_ATC_M3_AL24477_A0_RAD_EPD5""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-HOA,ATC_M3_AL24477,A0,,5.0,0.27600250384807623,exact,0.27600250384807623,0.27600250384807623,"[""CAR_ATC_M3_AL24477_A0_WFS_EPD5"",""CAR_ATC_M3_AL24477_A0_HOA_EPD5""]","[""exact"",""exact""]",True
platform,delta_dof50_width_d,RAD-HOA,ATC_M3_AL24477,A0,,5.0,0.33656081975772545,exact,0.33656081975772545,0.33656081975772545,"[""CAR_ATC_M3_AL24477_A0_RAD_EPD5"",""CAR_ATC_M3_AL24477_A0_HOA_EPD5""]","[""exact"",""exact""]",True
platform,delta_dof50_width_d,WFS-RAD,ATC_M3_AL24477,B0,,3.0,0.21883166338933047,lower_bound,0.21883166338933047,,"[""CAR_ATC_M3_AL24477_B0_WFS_EPD3"",""CAR_ATC_M3_AL24477_B0_RAD_EPD3""]","[""lower_bound"",""exact""]",False
platform,delta_dof50_width_d,WFS-HOA,ATC_M3_AL24477,B0,,3.0,-0.29363883716930006,lower_bound,-0.29363883716930006,,"[""CAR_ATC_M3_AL24477_B0_WFS_EPD3"",""CAR_ATC_M3_AL24477_B0_HOA_EPD3""]","[""lower_bound"",""exact""]",False
platform,delta_dof50_width_d,RAD-HOA,ATC_M3_AL24477,B0,,3.0,-0.5124705005586305,exact,-0.5124705005586305,-0.5124705005586305,"[""CAR_ATC_M3_AL24477_B0_RAD_EPD3"",""CAR_ATC_M3_AL24477_B0_HOA_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-RAD,ATC_M3_AL24477,B0,,5.0,-0.15746306234082375,exact,-0.15746306234082375,-0.15746306234082375,"[""CAR_ATC_M3_AL24477_B0_WFS_EPD5"",""CAR_ATC_M3_AL24477_B0_RAD_EPD5""]","[""exact"",""exact""]",True
platform,delta_dof50_width_d,WFS-HOA,ATC_M3_AL24477,B0,,5.0,0.2439070269878416,exact,0.2439070269878416,0.2439070269878416,"[""CAR_ATC_M3_AL24477_B0_WFS_EPD5"",""CAR_ATC_M3_AL24477_B0_HOA_EPD5""]","[""exact"",""exact""]",True
platform,delta_dof50_width_d,RAD-HOA,ATC_M3_AL24477,B0,,5.0,0.40137008932866536,exact,0.40137008932866536,0.40137008932866536,"[""CAR_ATC_M3_AL24477_B0_RAD_EPD5"",""CAR_ATC_M3_AL24477_B0_HOA_EPD5""]","[""exact"",""exact""]",True
platform,delta_dof50_width_d,WFS-RAD,ATC_M3_AL24477,C0,,3.0,-0.04888522832182929,exact,-0.04888522832182929,-0.04888522832182929,"[""CAR_ATC_M3_AL24477_C0_WFS_EPD3"",""CAR_ATC_M3_AL24477_C0_RAD_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-HOA,ATC_M3_AL24477,C0,,3.0,-0.4935109861513869,exact,-0.4935109861513869,-0.4935109861513869,"[""CAR_ATC_M3_AL24477_C0_WFS_EPD3"",""CAR_ATC_M3_AL24477_C0_HOA_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,RAD-HOA,ATC_M3_AL24477,C0,,3.0,-0.4446257578295576,exact,-0.4446257578295576,-0.4446257578295576,"[""CAR_ATC_M3_AL24477_C0_RAD_EPD3"",""CAR_ATC_M3_AL24477_C0_HOA_EPD3""]","[""exact"",""exact""]",False
platform,delta_dof50_width_d,WFS-RAD,ATC_M3_AL24477,C0,,5.0,-0.23063838217189125,upper_bound,,-0.23063838217189125,"[""CAR_ATC_M3_AL24477_C0_WFS_EPD5"",""CAR_ATC_M3_AL24477_C0_RAD_EPD5""]","[""exact"",""lower_bound""]",False
platform,delta_dof50_width_d,WFS-HOA,ATC_M3_AL24477,C0,,5.0,-0.3325575808097746,upper_bound,,-0.3325575808097746,"[""CAR_ATC_M3_AL24477_C0_WFS_EPD5"",""CAR_ATC_M3_AL24477_C0_HOA_EPD5""]","[""exact"",""lower_bound""]",False
platform,delta_dof50_width_d,RAD-HOA,ATC_M3_AL24477,C0,,5.0,-0.10191919863788335,indeterminate,,,"[""CAR_ATC_M3_AL24477_C0_RAD_EPD5"",""CAR_ATC_M3_AL24477_C0_HOA_EPD5""]","[""lower_bound"",""lower_bound""]",False
cornea,delta_dof50_width_d,B0-A0,LB_AL2395,,WFS,3.0,0.22382470473305194,lower_bound,0.22382470473305194,,"[""CAR_LB_AL2395_B0_WFS_EPD3"",""CAR_LB_AL2395_A0_WFS_EPD3""]","[""lower_bound"",""exact""]",False
cornea,delta_dof50_width_d,C0-A0,LB_AL2395,,WFS,3.0,-0.05447378820541182,exact,-0.05447378820541182,-0.05447378820541182,"[""CAR_LB_AL2395_C0_WFS_EPD3"",""CAR_LB_AL2395_A0_WFS_EPD3""]","[""exact"",""exact""]",False
cornea,delta_dof50_width_d,B0-C0,LB_AL2395,,WFS,3.0,0.27829849293846376,lower_bound,0.27829849293846376,,"[""CAR_LB_AL2395_B0_WFS_EPD3"",""CAR_LB_AL2395_C0_WFS_EPD3""]","[""lower_bound"",""exact""]",False
cornea,delta_dof50_width_d,B0-A0,LB_AL2395,,WFS,5.0,-0.043401248498064815,exact,-0.043401248498064815,-0.043401248498064815,"[""CAR_LB_AL2395_B0_WFS_EPD5"",""CAR_LB_AL2395_A0_WFS_EPD5""]","[""exact"",""exact""]",True
cornea,delta_dof50_width_d,C0-A0,LB_AL2395,,WFS,5.0,0.022927221198430714,exact,0.022927221198430714,0.022927221198430714,"[""CAR_LB_AL2395_C0_WFS_EPD5"",""CAR_LB_AL2395_A0_WFS_EPD5""]","[""exact"",""exact""]",False
cornea,delta_dof50_width_d,B0-C0,LB_AL2395,,WFS,5.0,-0.06632846969649553,exact,-0.06632846969649553,-0.06632846969649553,"[""CAR_LB_AL2395_B0_WFS_EPD5"",""CAR_LB_AL2395_C0_WFS_EPD5""]","[""exact"",""exact""]",True
cornea,delta_dof50_width_d,B0-A0,LB_AL2395,,RAD,3.0,0.06657939176985805,exact,0.06657939176985805,0.06657939176985805,"[""CAR_LB_AL2395_B0_RAD_EPD3"",""CAR_LB_AL2395_A0_RAD_EPD3""]","[""exact"",""exact""]",False
cornea,delta_dof50_width_d,C0-A0,LB_AL2395,,RAD,3.0,0.0117690921451169,exact,0.0117690921451169,0.0117690921451169,"[""CAR_LB_AL2395_C0_RAD_EPD3"",""CAR_LB_AL2395_A0_RAD_EPD3""]","[""exact"",""exact""]",False
