pair_key,mono_config_id,edof_config_id,distance_peak_retina_d,distance_peak_mtfa,mtfa_at_zero_d,dof50_width_d,tf_mtfa_mean,c40_um,c60_um,hoa_rms_um,delta_f_residual_d
CAR_ATC_M3_AL24477_N0_HOA_EPD3,CFG_ATC_M3_AL24477_N0_HOA_MONO_EPD3,CFG_ATC_M3_AL24477_N0_HOA_EDOF_EPD3,-0.25,-0.4335216107751844,-0.48861964366435034,0.7163154515746109,-0.08213262729232072,-0.07185961432008521,0.17876690196687714,0.16440599810708378,-0.25
CAR_ATC_M3_AL24477_N0_HOA_EPD5,CFG_ATC_M3_AL24477_N0_HOA_MONO_EPD5,CFG_ATC_M3_AL24477_N0_HOA_EDOF_EPD5,-0.5,-0.04010666154264353,-0.16968762750721306,-0.2785323334271037,-0.02742224839049104,-0.0026242815441487877,0.01659088580784321,-0.0016153646790681153,-0.5
CAR_ATC_M3_AL24477_N0_RAD_EPD3,CFG_ATC_M3_AL24477_N0_RAD_MONO_EPD3,CFG_ATC_M3_AL24477_N0_RAD_EDOF_EPD3,0.0,-0.28960409106896245,-0.28960409106896245,0.2338074927714613,-0.013670386940392854,0.014673014132790036,-0.08894421965959043,0.08764730470677513,0.0
CAR_ATC_M3_AL24477_N0_RAD_EPD5,CFG_ATC_M3_AL24477_N0_RAD_MONO_EPD5,CFG_ATC_M3_AL24477_N0_RAD_EDOF_EPD5,0.0,0.018434774909232454,0.018434774909232454,-0.18277894569178665,-0.007310019763555595,-0.1295472429740359,0.06123566710842693,0.05690813102892209,0.0
CAR_ATC_M3_AL24477_N0_WFS_EPD3,CFG_ATC_M3_AL24477_N0_WFS_MONO_EPD3,CFG_ATC_M3_AL24477_N0_WFS_EDOF_EPD3,0.0,-0.15764964431386802,-0.15764964431386802,0.16225514213811965,-0.012871964868627822,0.03303176221599633,-0.01617504979707099,0.03597603459128987,0.0
CAR_ATC_M3_AL24477_N0_WFS_EPD5,CFG_ATC_M3_AL24477_N0_WFS_MONO_EPD5,CFG_ATC_M3_AL24477_N0_WFS_EDOF_EPD5,0.0,0.0080405684605378,-0.07193432147319584,-0.07929467125035328,-0.004677680949184845,0.00244957818584593,-0.010027073811575077,0.002504018693351845,0.0
CAR_LB_AL2395_N0_HOA_EPD3,CFG_LB_AL2395_N0_HOA_MONO_EPD3,CFG_LB_AL2395_N0_HOA_EDOF_EPD3,-0.25,-0.429841151778812,-0.48487222324626833,0.7356147902542374,-0.08193134504670845,-0.07188865075123865,0.17881262460724645,0.16249148237811736,-0.25
CAR_LB_AL2395_N0_HOA_EPD5,CFG_LB_AL2395_N0_HOA_MONO_EPD5,CFG_LB_AL2395_N0_HOA_EDOF_EPD5,-0.5,-0.03329709284711227,-0.17002448069015902,-0.2879983155363839,-0.025309625003694464,-0.0026188985123130615,0.01659562971644411,-0.0016537375251478026,-0.5
CAR_LB_AL2395_N0_RAD_EPD3,CFG_LB_AL2395_N0_RAD_MONO_EPD3,CFG_LB_AL2395_N0_RAD_EDOF_EPD3,0.0,-0.2878302926742729,-0.2878302926742729,0.1891297411549353,-0.014734322369177683,0.015095232352492372,-0.08889779240050354,0.08591204674585487,0.0
CAR_LB_AL2395_N0_RAD_EPD5,CFG_LB_AL2395_N0_RAD_MONO_EPD5,CFG_LB_AL2395_N0_RAD_EDOF_EPD5,0.0,-0.0309446328885134,-0.0309446328885134,-0.07637130842129014,-0.010932003040895685,-0.12967700230254092,0.06113338102091696,0.030303228100434496,0.0
CAR_LB_AL2395_N0_WFS_EPD3,CFG_LB_AL2395_N0_WFS_MONO_EPD3,CFG_LB_AL2395_N0_WFS_EDOF_EPD3,0.0,-0.1663794428288085,-0.1663794428288085,0.19412335611887455,-0.013183941158771417,0.03303718729159311,-0.016161162914509027,0.03585531803245504,0.0
CAR_LB_AL2395_N0_WFS_EPD5,CFG_LB_AL2395_N0_WFS_MONO_EPD5,CFG_LB_AL2395_N0_WFS_EDOF_EPD5,0.0,-0.0018459867501365301,-0.0737358292601937,-0.03296587825022046,-0.006677307026112536,0.0024544478491774907,-0.010031327994140044,0.0025155329225076545,0.0
