model_role,run_id,config_id,pair_key,carrier_id,base_id,cornea_id,platform_id,optic_state,pupil_mm,relative_path,sha256
reference_cornea,task014-e270a185207543149c21da83202c4b73,,,,,REFERENCE,,,,models/task014_vertex_corrected/corneas/REFERENCE_CORNEA.zmx,1345089f8c714a1f887b0076cee5a108b0bb7f5d90d84c44f7cb572b61ac9cf2
vertex_corrected_distance_cornea,task014-e270a185207543149c21da83202c4b73,,,,,DISTANCE_V12,,,,models/task014_vertex_corrected/corneas/DISTANCE_CORNEA_VERTEX12.zmx,4155d069c1cebd313779c4fe0de2db3ac6506476e1913a355f1c5d5c21c0fd5b
vertex_corrected_postop_cornea,task014-e270a185207543149c21da83202c4b73,,,,,A0V12,,,,models/task014_vertex_corrected/corneas/CORNEA_A0V12.zmx,e5a474bbb4b244800e55bc335ea9c5afde37ccd76ecb8aa98f90d059f36e279f
vertex_corrected_postop_cornea,task014-e270a185207543149c21da83202c4b73,,,,,B0V12,,,,models/task014_vertex_corrected/corneas/CORNEA_B0V12.zmx,4502e39320d05fdb743fd844dda1159efc13f741e063afb99468fae5cb4c42eb
vertex_corrected_postop_cornea,task014-e270a185207543149c21da83202c4b73,,,,,C0V12,,,,models/task014_vertex_corrected/corneas/CORNEA_C0V12.zmx,05c510623436ddda4ab6ea166473dd880999acb362d71b224b217847ee0fed98
q0_start_carrier,task014-e270a185207543149c21da83202c4b73,,,,LB_AL2395,A0V12,,,,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/p0/P0_LB_AL2395_A0V12.zmx,8f04b2136fa3af10658f5e4f31e420c17c509c062b6a26f2efe163e65a92a92b
q0_start_carrier,task014-e270a185207543149c21da83202c4b73,,,,LB_AL2395,B0V12,,,,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/p0/P0_LB_AL2395_B0V12.zmx,993a127e5b8365c8fd49041870fd64df6f313687c50e37d75d5fff32a0264b05
q0_start_carrier,task014-e270a185207543149c21da83202c4b73,,,,LB_AL2395,C0V12,,,,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/p0/P0_LB_AL2395_C0V12.zmx,8983cc8acba0acc8e3bfb5ddc6698adacdc6e482a557951841c4179f2870655b
q0_start_carrier,task014-e270a185207543149c21da83202c4b73,,,,ATC_M3_AL24477,A0V12,,,,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/p0/P0_ATC_M3_AL24477_A0V12.zmx,885fe00babdfc37293dbc3132b2bdbf5786129500c780862c642affa6f7ba576
q0_start_carrier,task014-e270a185207543149c21da83202c4b73,,,,ATC_M3_AL24477,B0V12,,,,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/p0/P0_ATC_M3_AL24477_B0V12.zmx,3d48f685292ea40bea971f8ab44be4bffc25b2f57226c6b217aaf751ef512cf6
q0_start_carrier,task014-e270a185207543149c21da83202c4b73,,,,ATC_M3_AL24477,C0V12,,,,models/task014_vertex_corrected/runs/task014-e270a185207543149c21da83202c4b73/p0/P0_ATC_M3_AL24477_C0V12.zmx,f2616a38d12e3d42d42b6aa346313e94f0c121112795ffa0cb0744ffcb81c0c6
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_LB_AL2395_A0V12_WFS,LB_AL2395,A0V12,WFS,,,models/task014_vertex_corrected/carriers/CAR_LB_AL2395_A0V12_WFS.zmx,c5121bbefc874d2019e4c4c883f50f53eb23c57b08b9b96e462c9a2596ecccb8
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_LB_AL2395_A0V12_RAD,LB_AL2395,A0V12,RAD,,,models/task014_vertex_corrected/carriers/CAR_LB_AL2395_A0V12_RAD.zmx,974383d6f39f76e8f20f6f041df8effc46191cd535442f88492445620caeb406
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_LB_AL2395_A0V12_HOA,LB_AL2395,A0V12,HOA,,,models/task014_vertex_corrected/carriers/CAR_LB_AL2395_A0V12_HOA.zmx,e566c73fd11ad4b91af154df2e85be76cc185fbfcf917bfc270c80703fba0764
physical_carrier,task014-e270a185207543149c21da83202c4b73,,,CAR_LB_AL2395_B0V12_WFS,LB_AL2395,B0V12,WFS,,,models/task014_vertex_corrected/carriers/CAR_LB_AL2395_B0V12_WFS.zmx,acf9e90dd85f1763a986d2cdc57377e2512901d2b5494b645d76681d565ff767
