基础模型眼,角膜光学表型,人工晶状体延焦机制,瞳孔,DOF50改变量_D,DOF50状态,0D处MTFa改变量,全贯焦平均MTFa改变量,距离峰值MTFa改变量,C4⁰改变量_μm,C6⁰改变量_μm,高阶像差RMS改变量_μm,距离峰值搜索窗状态,内部base_id,内部cornea_id,内部platform_id,内部pair_key
Liou–Brennan 模型眼（眼轴 23.95 mm）,未治疗参照角膜,波前塑形型延焦,3 mm 瞳孔,0.1941233561188745,精确值,-0.1663794428288085,-0.0131839411587714,-0.1663794428288085,0.0330371872915931,-0.016161162914509,0.035855318032455,未删失,LB_AL2395,N0,WFS,CAR_LB_AL2395_N0_WFS_EPD3
Liou–Brennan 模型眼（眼轴 23.95 mm）,未治疗参照角膜,波前塑形型延焦,5 mm 瞳孔,-0.0329658782502204,精确值,-0.0737358292601937,-0.0066773070261125,-0.0018459867501365,0.0024544478491774,-0.01003132799414,0.0025155329225076,未删失,LB_AL2395,N0,WFS,CAR_LB_AL2395_N0_WFS_EPD5
Liou–Brennan 模型眼（眼轴 23.95 mm）,未治疗参照角膜,径向屈光力调制型延焦,3 mm 瞳孔,0.1891297411549353,精确值,-0.2878302926742729,-0.0147343223691776,-0.2878302926742729,0.0150952323524923,-0.0888977924005035,0.0859120467458548,未删失,LB_AL2395,N0,RAD,CAR_LB_AL2395_N0_RAD_EPD3
Liou–Brennan 模型眼（眼轴 23.95 mm）,未治疗参照角膜,径向屈光力调制型延焦,5 mm 瞳孔,-0.0763713084212901,精确值,-0.0309446328885134,-0.0109320030408956,-0.0309446328885134,-0.1296770023025409,0.0611333810209169,0.0303032281004344,未删失,LB_AL2395,N0,RAD,CAR_LB_AL2395_N0_RAD_EPD5
Liou–Brennan 模型眼（眼轴 23.95 mm）,未治疗参照角膜,高阶像差调制型延焦,3 mm 瞳孔,0.7356147902542374,精确值,-0.4848722232462683,-0.0819313450467084,-0.429841151778812,-0.0718886507512386,0.1788126246072464,0.1624914823781173,未删失,LB_AL2395,N0,HOA,CAR_LB_AL2395_N0_HOA_EPD3
Liou–Brennan 模型眼（眼轴 23.95 mm）,未治疗参照角膜,高阶像差调制型延焦,5 mm 瞳孔,-0.2879983155363839,精确值,-0.170024480690159,-0.0253096250036944,-0.0332970928471122,-0.002618898512313,0.0165956297164441,-0.0016537375251478,受搜索窗边界限制,LB_AL2395,N0,HOA,CAR_LB_AL2395_N0_HOA_EPD5
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,波前塑形型延焦,3 mm 瞳孔,0.2241485709626446,精确值,-0.172678220518498,-0.0145445735781665,-0.172678220518498,0.0321320906344138,-0.0174189739902253,0.0351909585029211,未删失,LB_AL2395,A0V12,WFS,CAR_LB_AL2395_A0V12_WFS_EPD3
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,波前塑形型延焦,5 mm 瞳孔,0.113241051221899,精确值,-0.069557272572145,-0.0063841437134247,-0.0247690696638629,0.002056105113954,-0.0094715972492074,0.0020813558081174,未删失,LB_AL2395,A0V12,WFS,CAR_LB_AL2395_A0V12_WFS_EPD5
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,径向屈光力调制型延焦,3 mm 瞳孔,0.1621157600160401,精确值,-0.2813470211104907,-0.0164350411205513,-0.2813470211104907,0.0048522766429856,-0.091285210972584,0.083305330807486,未删失,LB_AL2395,A0V12,RAD,CAR_LB_AL2395_A0V12_RAD_EPD3
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,径向屈光力调制型延焦,5 mm 瞳孔,0.0146183222934063,精确值,-0.0544509320125984,-0.0137576340422617,-0.0700989677583148,-0.128954689196528,0.0635594555843822,-0.012737625089324,未删失,LB_AL2395,A0V12,RAD,CAR_LB_AL2395_A0V12_RAD_EPD5
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,高阶像差调制型延焦,3 mm 瞳孔,0.6592149240974534,精确值,-0.4720166776076612,-0.0807593648257121,-0.413389946013168,-0.0668983612546541,0.1709648622198187,0.1490767523370605,未删失,LB_AL2395,A0V12,HOA,CAR_LB_AL2395_A0V12_HOA_EPD3
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,高阶像差调制型延焦,5 mm 瞳孔,-0.2828742719377439,精确值,-0.1645517829865669,-0.0247780002681742,-0.0460540221144802,-0.0023784015241368,0.0152309423730674,-0.0016240673480465,受搜索窗边界限制,LB_AL2395,A0V12,HOA,CAR_LB_AL2395_A0V12_HOA_EPD5
Liou–Brennan 模型眼（眼轴 23.95 mm）,连续非球面角膜延焦原型,波前塑形型延焦,3 mm 瞳孔,0.4597038588324205,下界,-0.2044149093356742,-0.016955155218166,-0.2044149093356742,0.0321953253379434,-0.0173580339294374,0.0346015845266054,未删失,LB_AL2395,B0V12,WFS,CAR_LB_AL2395_B0V12_WFS_EPD3
Liou–Brennan 模型眼（眼轴 23.95 mm）,连续非球面角膜延焦原型,波前塑形型延焦,5 mm 瞳孔,0.0398615060186071,精确值,-0.0755303210327652,-0.0055842217490989,-0.0147806603733146,0.0020732526332279,-0.0095036439786498,0.0021324955560871,受搜索窗边界限制,LB_AL2395,B0V12,WFS,CAR_LB_AL2395_B0V12_WFS_EPD5
