基础模型眼,术后角膜光学表型,人工晶状体延焦机制,瞳孔,相对未治疗参照的DOF50净调制_D,DOF50净调制状态,DOF50净调制下界_D,DOF50净调制上界_D,相对未治疗参照的0D处MTFa净调制,相对未治疗参照的全贯焦平均MTFa净调制,内部base_id,内部cornea_id,内部platform_id
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,波前塑形型延焦,3 mm 瞳孔,0.03002521484377,精确值,0.03002521484377,0.03002521484377,-0.0062987776896895,-0.0013606324193951,LB_AL2395,A0V12,WFS
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,波前塑形型延焦,5 mm 瞳孔,0.1462069294721195,精确值,0.1462069294721195,0.1462069294721195,0.0041785566880486,0.0002931633126878,LB_AL2395,A0V12,WFS
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,径向屈光力调制型延焦,3 mm 瞳孔,-0.0270139811388951,精确值,-0.0270139811388951,-0.0270139811388951,0.0064832715637822,-0.0017007187513736,LB_AL2395,A0V12,RAD
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,径向屈光力调制型延焦,5 mm 瞳孔,0.0909896307146964,精确值,0.0909896307146964,0.0909896307146964,-0.023506299124085,-0.002825631001366,LB_AL2395,A0V12,RAD
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,高阶像差调制型延焦,3 mm 瞳孔,-0.0763998661567839,精确值,-0.0763998661567839,-0.0763998661567839,0.0128555456386071,0.0011719802209962,LB_AL2395,A0V12,HOA
Liou–Brennan 模型眼（眼轴 23.95 mm）,近视术后准单焦角膜,高阶像差调制型延焦,5 mm 瞳孔,0.0051240435986399,精确值,0.0051240435986399,0.0051240435986399,0.0054726977035921,0.0005316247355201,LB_AL2395,A0V12,HOA
Liou–Brennan 模型眼（眼轴 23.95 mm）,连续非球面角膜延焦原型,波前塑形型延焦,3 mm 瞳孔,0.2655805027135459,下界,0.2655805027135459,,-0.0380354665068657,-0.0037712140593946,LB_AL2395,B0V12,WFS
Liou–Brennan 模型眼（眼轴 23.95 mm）,连续非球面角膜延焦原型,波前塑形型延焦,5 mm 瞳孔,0.0728273842688276,精确值,0.0728273842688276,0.0728273842688276,-0.0017944917725715,0.0010930852770136,LB_AL2395,B0V12,WFS
Liou–Brennan 模型眼（眼轴 23.95 mm）,连续非球面角膜延焦原型,径向屈光力调制型延焦,3 mm 瞳孔,0.0564830448708493,精确值,0.0564830448708493,0.0564830448708493,0.0213319728601836,-0.0046878880799417,LB_AL2395,B0V12,RAD
Liou–Brennan 模型眼（眼轴 23.95 mm）,连续非球面角膜延焦原型,径向屈光力调制型延焦,5 mm 瞳孔,0.2747926456281481,精确值,0.2747926456281481,0.2747926456281481,-0.039247178175607,-0.0010659051770514,LB_AL2395,B0V12,RAD
Liou–Brennan 模型眼（眼轴 23.95 mm）,连续非球面角膜延焦原型,高阶像差调制型延焦,3 mm 瞳孔,-0.0009528769288935,精确值,-0.0009528769288935,-0.0009528769288935,0.0540124598651429,0.003162108136072,LB_AL2395,B0V12,HOA
Liou–Brennan 模型眼（眼轴 23.95 mm）,连续非球面角膜延焦原型,高阶像差调制型延焦,5 mm 瞳孔,0.0587110729351103,精确值,0.0587110729351103,0.0587110729351103,0.0305650219769653,0.0032881271604373,LB_AL2395,B0V12,HOA
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,波前塑形型延焦,3 mm 瞳孔,-0.007446666381738,精确值,-0.007446666381738,-0.007446666381738,0.0020519986705187,-0.0004324956475322,LB_AL2395,C0V12,WFS
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,波前塑形型延焦,5 mm 瞳孔,0.1177801174789014,精确值,0.1177801174789014,0.1177801174789014,-0.0033888531012422,0.0035084603804608,LB_AL2395,C0V12,WFS
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,径向屈光力调制型延焦,3 mm 瞳孔,0.0068426167898083,精确值,0.0068426167898083,0.0068426167898083,0.0011866743747175,-0.0003200423514001,LB_AL2395,C0V12,RAD
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,径向屈光力调制型延焦,5 mm 瞳孔,0.3792406467117071,下界,0.3792406467117071,,-0.1165304224187455,0.0070418866145195,LB_AL2395,C0V12,RAD
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,高阶像差调制型延焦,3 mm 瞳孔,-0.0434478944230708,精确值,-0.0434478944230708,-0.0434478944230708,0.0045309269702755,0.0007171093724246,LB_AL2395,C0V12,HOA
Liou–Brennan 模型眼（眼轴 23.95 mm）,中央近用径向多焦角膜,高阶像差调制型延焦,5 mm 瞳孔,0.2458524487452619,精确值,0.2458524487452619,0.2458524487452619,-0.0345923140973878,-0.0044617658276498,LB_AL2395,C0V12,HOA
Atchison −3 D 近视模型眼（眼轴 24.48 mm）,近视术后准单焦角膜,波前塑形型延焦,3 mm 瞳孔,0.0356403855273265,精确值,0.0356403855273265,0.0356403855273265,-0.008959072233496,-0.0007031158809585,ATC_M3_AL24477,A0V12,WFS
