cornea_id,platform_id,platform_label,stratum_count,dof50_censored_count,dof50_mean_bound_status,dof50_mean_lower_bound,dof50_mean_upper_bound,peak_censored_count,delta_dof50_width_d_direction,delta_dof50_width_d_mean,delta_dof50_width_d_min,delta_dof50_width_d_max,delta_distance_peak_mtfa_direction,delta_distance_peak_mtfa_mean,delta_distance_peak_mtfa_min,delta_distance_peak_mtfa_max,delta_mtfa_at_zero_d_direction,delta_mtfa_at_zero_d_mean,delta_mtfa_at_zero_d_min,delta_mtfa_at_zero_d_max,delta_tf_mtfa_mean_direction,delta_tf_mtfa_mean_mean,delta_tf_mtfa_mean_min,delta_tf_mtfa_mean_max,delta_c40_um_direction,delta_c60_um_direction,delta_hoa_rms_um_direction,delta_f_residual_d_direction
N0,WFS,WFS-like,4,0,exact,0.061029487189105114,0.061029487189105114,0,+2/00/-2,0.061029487189105114,-0.07929467125035328,0.19412335611887455,+1/00/-3,-0.07945862635806882,-0.1663794428288085,0.0080405684605378,+0/00/-4,-0.11742480946901651,-0.1663794428288085,-0.07193432147319584,+0/00/-4,-0.009352723500674155,-0.013183941158771417,-0.004677680949184845,+4/00/-0,+0/00/-4,+4/00/-0,+0/04/-0
N0,RAD,RAD-like,4,0,exact,0.04094674495332995,0.04094674495332995,0,+2/00/-2,0.04094674495332995,-0.18277894569178665,0.2338074927714613,+1/00/-3,-0.14748606043062906,-0.28960409106896245,0.018434774909232454,+1/00/-3,-0.14748606043062906,-0.28960409106896245,0.018434774909232454,+0/00/-4,-0.011661683028505454,-0.014734322369177683,-0.007310019763555595,+2/00/-2,+2/00/-2,+4/00/-0,+0/04/-0
N0,HOA,HOA-like,4,0,exact,0.22134989821634016,0.22134989821634016,2,+2/00/-2,0.22134989821634016,-0.2879983155363839,0.7356147902542374,+0/00/-4,-0.23419162923593806,-0.4335216107751844,-0.03329709284711227,+0/00/-4,-0.3283009937769977,-0.48861964366435034,-0.16968762750721306,+0/00/-4,-0.05419896143330367,-0.08213262729232072,-0.025309625003694464,+0/00/-4,+4/00/-0,+2/00/-2,+0/00/-4
A0V12,WFS,WFS-like,4,0,exact,0.13859798469410625,0.13859798469410625,0,+4/00/-0,0.13859798469410625,0.019106788926435136,0.22414857096264462,+0/00/-4,-0.0933820452676656,-0.17267822051849807,-0.009472174340937223,+0/00/-4,-0.12006707226084251,-0.17267822051849807,-0.06955727257214506,+0/00/-4,-0.010557413982565225,-0.014544573578166575,-0.006384143713424703,+4/00/-0,+0/00/-4,+4/00/-0,+0/03/-1
A0V12,RAD,RAD-like,4,0,exact,0.0783272475728731,0.0783272475728731,0,+3/00/-1,0.0783272475728731,-0.01175935859748245,0.1621157600160401,+0/00/-4,-0.1751720388208614,-0.2824486408242538,-0.06679352559038632,+0/00/-4,-0.1666026334507119,-0.2824486408242538,-0.048163939855504656,+0/00/-4,-0.014611826324984943,-0.016435041120551303,-0.01262842556829516,+2/00/-2,+2/00/-2,+3/00/-1,+1/03/-0
A0V12,HOA,HOA-like,4,0,exact,0.19328029024005972,0.19328029024005972,2,+2/00/-2,0.19328029024005974,-0.28287427193774395,0.6592149240974534,+0/00/-4,-0.2280751245231236,-0.4185536956946011,-0.034302834270245,+0/00/-4,-0.32067129439947256,-0.47628831489042067,-0.16455178298656692,+0/00/-4,-0.05254917906444388,-0.08081770976479438,-0.023841641399094712,+0/00/-4,+4/00/-0,+2/00/-2,+0/00/-4
B0V12,WFS,WFS-like,4,2,lower_bound,0.224193032429739,,2,+3/00/-1,0.224193032429739,-0.025241397589875536,0.4597038588324205,+0/00/-4,-0.10659397250187044,-0.20441490933567424,-0.007873641086847266,+0/00/-4,-0.13842917707434121,-0.20441490933567424,-0.07446479871727985,+0/00/-4,-0.011250082335783028,-0.016955155218166096,-0.005584221749098922,+4/00/-0,+0/00/-4,+4/00/-0,+0/02/-2
B0V12,RAD,RAD-like,4,0,exact,0.19606589618028214,0.19606589618028214,2,+4/00/-0,0.19606589618028214,0.12425936609707033,0.24561278602578462,+0/00/-4,-0.15664790688705243,-0.27007115294835055,-0.04464522642525878,+0/00/-4,-0.16645264747470334,-0.27007115294835055,-0.059049306072253116,+0/00/-4,-0.015204465698578504,-0.01942221044911946,-0.010459288802141031,+2/00/-2,+2/00/-2,+2/00/-2,+0/02/-2
B0V12,HOA,HOA-like,4,0,exact,0.24116298569912092,0.24116298569912092,2,+2/00/-2,0.24116298569912092,-0.26677220460923134,0.7346619133253438,+0/00/-4,-0.21836489509315693,-0.3791148774206305,-0.061589834549492725,+0/00/-4,-0.2877791864827925,-0.4391146994920586,-0.1394594587131937,+0/00/-4,-0.050684293451752196,-0.07935782118306382,-0.022021497843257104,+0/00/-4,+4/00/-0,+2/00/-2,+0/00/-4
C0V12,WFS,WFS-like,4,0,exact,0.12360558116296308,0.12360558116296308,0,+4/00/-0,0.12360558116296308,0.057014926748994554,0.18667668973713647,+0/00/-4,-0.11811685258962684,-0.16432744415828976,-0.07251655278996039,+0/00/-4,-0.11811685258962684,-0.16432744415828976,-0.07251655278996039,+0/00/-4,-0.008097461966101407,-0.013616436806303645,-0.0027892380549395662,+4/00/-0,+0/00/-4,+2/00/-2,+0/04/-0
C0V12,RAD,RAD-like,4,2,lower_bound,0.24166844330288909,,0,+4/00/-0,0.2416684433028891,0.17962505095856296,0.302869338290417,+0/00/-4,-0.21587828261793046,-0.28669799900251525,-0.14269645786239232,+0/00/-4,-0.21587828261793046,-0.28669799900251525,-0.14269645786239232,+0/00/-4,-0.009116606038705365,-0.015054364720577834,-0.003179212665887665,+2/00/-2,+2/00/-2,+4/00/-0,+0/04/-0
