base_id,cornea_id,platform_id,platform_label,pupil_mm,pupil_label,interaction_delta_dof50_width_d,dof50_bound_status,dof50_lower_bound,dof50_upper_bound,interaction_delta_mtfa_at_zero_d,interaction_delta_tf_mtfa_mean
ATC_M3_AL24477,A0V12,HOA,HOA-like,3.0,EPD3,-0.0825445257282152,exact,-0.0825445257282152,-0.0825445257282152,0.0123313287739296,0.0013149175275263
ATC_M3_AL24477,A0V12,HOA,HOA-like,5.0,EPD5,0.0415419163812376,exact,0.0415419163812376,0.0415419163812376,-0.0001407746060284,0.0035806069913963
ATC_M3_AL24477,A0V12,RAD,RAD-like,3.0,EPD3,-0.0854732261919328,exact,-0.0854732261919328,-0.0854732261919328,0.0071554502447086,-0.0019558176284387
ATC_M3_AL24477,A0V12,RAD,RAD-like,5.0,EPD5,0.1710195870943042,exact,0.1710195870943042,0.1710195870943042,-0.0665987147647371,-0.0053184058047395
ATC_M3_AL24477,A0V12,WFS,WFS-like,3.0,EPD3,0.0356403855273265,exact,0.0356403855273265,0.0356403855273265,-0.008959072233496,-0.0007031158809585
ATC_M3_AL24477,A0V12,WFS,WFS-like,5.0,EPD5,0.0984014601767884,exact,0.0984014601767884,0.0984014601767884,0.000510242067833,-0.0030481769398983
ATC_M3_AL24477,B0V12,HOA,HOA-like,3.0,EPD3,0.0097340251070339,exact,0.0097340251070339,0.0097340251070339,0.0495049441722917,0.0027748061092569
ATC_M3_AL24477,B0V12,HOA,HOA-like,5.0,EPD5,0.0117601288178723,exact,0.0117601288178723,0.0117601288178723,0.0280048031624207,0.0048336305204395
ATC_M3_AL24477,B0V12,RAD,RAD-like,3.0,EPD3,-0.0178373973800456,exact,-0.0178373973800456,-0.0178373973800456,0.0195329381206119,-0.0052680683847135
ATC_M3_AL24477,B0V12,RAD,RAD-like,5.0,EPD5,0.307038311788857,exact,0.307038311788857,0.307038311788857,-0.0774840809814855,-0.0031492690385854
ATC_M3_AL24477,B0V12,WFS,WFS-like,3.0,EPD3,0.2601930203196843,lower_bound,0.2601930203196843,,-0.0416570348977775,-0.0038574445486141
ATC_M3_AL24477,B0V12,WFS,WFS-like,5.0,EPD5,0.0540532736604777,exact,0.0540532736604777,0.0540532736604777,-0.002530477244084,-0.0010538620094402
ATC_M3_AL24477,C0V12,HOA,HOA-like,3.0,EPD3,-0.0489185159988483,exact,-0.0489185159988483,-0.0489185159988483,0.0045215446723653,0.0007785664750469
ATC_M3_AL24477,C0V12,HOA,HOA-like,5.0,EPD5,0.689469881381208,lower_bound,0.689469881381208,,-0.0442487683636094,-0.0015817374021534
ATC_M3_AL24477,C0V12,RAD,RAD-like,3.0,EPD3,-0.0541824418128983,exact,-0.0541824418128983,-0.0541824418128983,0.0029060920664472,-0.0006723434015869
ATC_M3_AL24477,C0V12,RAD,RAD-like,5.0,EPD5,0.4709859717096194,lower_bound,0.4709859717096194,,-0.1611312327716247,0.0041308070976679
ATC_M3_AL24477,C0V12,WFS,WFS-like,3.0,EPD3,0.0036613267989206,exact,0.0036613267989206,0.0036613267989206,-0.0008490867349532,5.663851111709084e-05
ATC_M3_AL24477,C0V12,WFS,WFS-like,5.0,EPD5,0.1363095979993478,exact,0.1363095979993478,0.1363095979993478,-0.0005822313167645,0.0018884428942452
LB_AL2395,A0V12,HOA,HOA-like,3.0,EPD3,-0.0763998661567839,exact,-0.0763998661567839,-0.0763998661567839,0.0128555456386071,0.0011719802209962
LB_AL2395,A0V12,HOA,HOA-like,5.0,EPD5,0.0051240435986399,exact,0.0051240435986399,0.0051240435986399,0.0054726977035921,0.0005316247355201
LB_AL2395,A0V12,RAD,RAD-like,3.0,EPD3,-0.0270139811388951,exact,-0.0270139811388951,-0.0270139811388951,0.0064832715637822,-0.0017007187513736
LB_AL2395,A0V12,RAD,RAD-like,5.0,EPD5,0.0909896307146964,exact,0.0909896307146964,0.0909896307146964,-0.023506299124085,-0.002825631001366
LB_AL2395,A0V12,WFS,WFS-like,3.0,EPD3,0.03002521484377,exact,0.03002521484377,0.03002521484377,-0.0062987776896895,-0.0013606324193951
LB_AL2395,A0V12,WFS,WFS-like,5.0,EPD5,0.1462069294721195,exact,0.1462069294721195,0.1462069294721195,0.0041785566880486,0.0002931633126878
LB_AL2395,B0V12,HOA,HOA-like,3.0,EPD3,-0.0009528769288935,exact,-0.0009528769288935,-0.0009528769288935,0.0540124598651429,0.003162108136072
LB_AL2395,B0V12,HOA,HOA-like,5.0,EPD5,0.0587110729351103,exact,0.0587110729351103,0.0587110729351103,0.0305650219769653,0.0032881271604373
LB_AL2395,B0V12,RAD,RAD-like,3.0,EPD3,0.0564830448708493,exact,0.0564830448708493,0.0564830448708493,0.0213319728601836,-0.0046878880799417
LB_AL2395,B0V12,RAD,RAD-like,5.0,EPD5,0.2747926456281481,exact,0.2747926456281481,0.2747926456281481,-0.039247178175607,-0.0010659051770514
LB_AL2395,B0V12,WFS,WFS-like,3.0,EPD3,0.2655805027135459,lower_bound,0.2655805027135459,,-0.0380354665068657,-0.0037712140593946
LB_AL2395,B0V12,WFS,WFS-like,5.0,EPD5,0.0728273842688276,exact,0.0728273842688276,0.0728273842688276,-0.0017944917725715,0.0010930852770136
LB_AL2395,C0V12,HOA,HOA-like,3.0,EPD3,-0.0434478944230708,exact,-0.0434478944230708,-0.0434478944230708,0.0045309269702755,0.0007171093724246
LB_AL2395,C0V12,HOA,HOA-like,5.0,EPD5,0.2458524487452619,exact,0.2458524487452619,0.2458524487452619,-0.0345923140973878,-0.0044617658276498
LB_AL2395,C0V12,RAD,RAD-like,3.0,EPD3,0.0068426167898083,exact,0.0068426167898083,0.0068426167898083,0.0011866743747175,-0.0003200423514001
LB_AL2395,C0V12,RAD,RAD-like,5.0,EPD5,0.3792406467117071,lower_bound,0.3792406467117071,,-0.1165304224187455,0.0070418866145195
LB_AL2395,C0V12,WFS,WFS-like,3.0,EPD3,-0.007446666381738,exact,-0.007446666381738,-0.007446666381738,0.0020519986705187,-0.0004324956475322
LB_AL2395,C0V12,WFS,WFS-like,5.0,EPD5,0.1177801174789014,exact,0.1177801174789014,0.1177801174789014,-0.0033888531012422,0.0035084603804608
